2026-04-04 13:14:31,965 | INFO | __main__ | === Running TEST PIPELINE with synthetic data ===
2026-04-04 13:14:37,492 | INFO | __main__ | Synthetic dataset: 143,600 obs × 45 cols
2026-04-04 13:14:41,794 | INFO | __main__ | === Step 5: Initialising models ===
2026-04-04 13:14:41,794 | INFO | __main__ | Models: ['OLS-3', 'ENet+H', 'RF', 'NN3']
2026-04-04 13:14:41,794 | INFO | __main__ | === Step 6: Running recursive backtest ===
2026-04-04 13:14:41,950 | INFO | src.backtest.engine | Test year 1987: train=69,200  val=2,400  test=2,400
2026-04-04 13:14:41,975 | ERROR | src.backtest.engine | OLS-3 failed at 1987: Found array with 0 feature(s) (shape=(69200, 0)) while a minimum of 1 is required by LinearRegression.
2026-04-04 13:24:40,348 | INFO | __main__ | === Running TEST PIPELINE with synthetic data ===
2026-04-04 13:24:46,165 | INFO | __main__ | Synthetic dataset: 143,600 obs × 48 cols
2026-04-04 13:24:48,537 | INFO | __main__ | === Step 5: Initialising models ===
2026-04-04 13:24:48,537 | INFO | __main__ | Models: ['OLS-3', 'ENet+H', 'RF', 'NN3']
2026-04-04 13:24:48,537 | INFO | __main__ | === Step 6: Running recursive backtest ===
2026-04-04 13:24:48,694 | INFO | src.backtest.engine | Test year 1987: train=69,200  val=2,400  test=2,400
2026-04-04 13:39:37,230 | INFO | src.backtest.engine | Test year 1988: train=71,600  val=2,400  test=2,400
2026-04-07 13:28:00,450 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:28:00,451 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:28:00,451 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:28:35,168 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:28:35,168 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:28:35,168 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:28:57,064 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:28:57,080 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:28:57,080 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:30:57,077 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:30:57,077 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:30:57,078 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:31:24,795 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:31:24,795 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:31:24,795 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:33:00,526 | INFO | __main__ | === Running TEST PIPELINE with synthetic data ===
2026-04-07 13:36:16,552 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:36:16,552 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:36:16,553 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:37:26,684 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:37:26,684 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:37:26,684 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 13:39:54,445 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 13:39:54,446 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 13:39:54,446 | INFO | src.data.wrds_loader | Connecting to WRDS...
2026-04-07 15:08:13,865 | INFO | __main__ | === Step 1: Loading WRDS data ===
2026-04-07 15:08:13,867 | INFO | src.data.wrds_loader | Fetching crsp_monthly_1957_2016 from WRDS...
2026-04-07 15:08:13,867 | INFO | src.data.wrds_loader | Connecting to WRDS...
