Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.970629,-0.967922,,372.489706,0.371731,-0.186236,0.012213,1.538912,-660.542213,-3.069397
ENet+H,-0.970783,-0.967922,,353.819394,0.371733,-0.186223,0.008539,1.54247,-627.544769,-3.069885
PCR,-0.970548,-0.967922,,506.462582,0.371701,-0.186305,0.018464,1.56614,-694.7739,-3.069143
PLS,-0.970478,-0.967922,,788.066578,0.371659,-0.186313,0.014215,1.56737,-714.50254,-3.06892
GLM+H,-0.970374,-0.967922,,2269.848458,0.371698,-0.186264,0.014554,1.527622,-723.978365,-3.068591
GBRT+H,-0.970896,-0.967922,,342.660938,0.371705,-0.186265,0.032037,1.558206,-607.752195,-3.070244
NN1,-0.970567,-0.967922,,384.821815,0.371748,-0.186255,0.027315,1.548387,-682.383378,-3.069202
NN2,-0.971279,-0.967922,,302.777427,0.37169,-0.186267,0.021848,1.551334,-537.21958,-3.071454
NN3,-0.97023,-0.967922,,4112.097976,0.371714,-0.186259,0.031714,1.562445,-790.377065,-3.068138
NN4,-0.970493,-0.967922,,777.410898,0.371691,-0.186361,0.030237,1.562311,-710.121898,-3.068968
ENS-AVG,-0.971159,-0.967922,,316.599508,0.371718,-0.186328,0.035016,1.562612,-561.626727,-3.071074
ENS-MSE,-0.970354,-0.967922,,3355.972051,0.371716,-0.186317,0.036239,1.551591,-742.096247,-3.068527
