regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,0.097465,0.396247,0.000508,120
nber,recession,OLS-3,0.038986,0.158499,0.000203,0
nber,expansion,OLS-3,0.107212,0.435872,0.000559,120
vix,low_vix,OLS-3,0.126705,0.515121,0.00066,120
vix,mid_vix,OLS-3,0.097465,0.396247,0.000508,0
vix,high_vix,OLS-3,0.048733,0.198124,0.000254,0
decade,2020s,OLS-3,0.088563,0.360055,0.000462,45
decade,2030s,OLS-3,0.082985,0.337379,0.000432,75
full,all,ENet+H,0.079848,0.360074,0.000441,120
nber,recession,ENet+H,0.031939,0.14403,0.000176,0
nber,expansion,ENet+H,0.087833,0.396081,0.000485,120
vix,low_vix,ENet+H,0.103803,0.468096,0.000573,120
vix,mid_vix,ENet+H,0.079848,0.360074,0.000441,0
vix,high_vix,ENet+H,0.039924,0.180037,0.00022,0
decade,2020s,ENet+H,0.089704,0.40452,0.000495,45
decade,2030s,ENet+H,0.08457,0.381368,0.000467,75
full,all,PCR,0.359546,0.648706,0.001935,120
nber,recession,PCR,0.143819,0.259482,0.000774,0
nber,expansion,PCR,0.395501,0.713576,0.002129,120
vix,low_vix,PCR,0.46741,0.843318,0.002516,120
vix,mid_vix,PCR,0.359546,0.648706,0.001935,0
vix,high_vix,PCR,0.179773,0.324353,0.000968,0
decade,2020s,PCR,0.412386,0.744041,0.00222,45
decade,2030s,PCR,0.37018,0.667891,0.001992,75
full,all,PLS,0.239176,0.576804,0.001127,120
nber,recession,PLS,0.09567,0.230722,0.000451,0
nber,expansion,PLS,0.263094,0.634485,0.001239,120
vix,low_vix,PLS,0.310929,0.749846,0.001465,120
vix,mid_vix,PLS,0.239176,0.576804,0.001127,0
vix,high_vix,PLS,0.119588,0.288402,0.000563,0
decade,2020s,PLS,0.23132,0.557859,0.00109,45
decade,2030s,PLS,0.272745,0.65776,0.001285,75
full,all,GLM+H,-0.318696,0.029758,-0.001428,120
nber,recession,GLM+H,-0.127478,0.011903,-0.000571,0
nber,expansion,GLM+H,-0.350566,0.032734,-0.001571,120
vix,low_vix,GLM+H,-0.414305,0.038685,-0.001857,120
vix,mid_vix,GLM+H,-0.318696,0.029758,-0.001428,0
vix,high_vix,GLM+H,-0.159348,0.014879,-0.000714,0
decade,2020s,GLM+H,-0.332921,0.031086,-0.001492,45
decade,2030s,GLM+H,-0.293007,0.027359,-0.001313,75
full,all,GBRT+H,0.580323,0.84189,0.003417,120
nber,recession,GBRT+H,0.435242,0.631418,0.002563,0
nber,expansion,GBRT+H,0.609339,0.883985,0.003588,120
vix,low_vix,GBRT+H,0.696387,1.010268,0.0041,120
vix,mid_vix,GBRT+H,0.580323,0.84189,0.003417,0
vix,high_vix,GBRT+H,0.435242,0.631418,0.002563,0
decade,2020s,GBRT+H,0.5299,0.76874,0.00312,45
decade,2030s,GBRT+H,0.530476,0.769576,0.003123,75
full,all,NN1,0.721891,1.02857,0.003694,120
nber,recession,NN1,0.577513,0.822856,0.002955,0
nber,expansion,NN1,0.757985,1.079999,0.003878,120
vix,low_vix,NN1,0.830175,1.182856,0.004248,120
vix,mid_vix,NN1,0.721891,1.02857,0.003694,0
vix,high_vix,NN1,0.613607,0.874285,0.00314,0
decade,2020s,NN1,0.658431,0.938151,0.003369,45
decade,2030s,NN1,0.82622,1.177222,0.004227,75
full,all,NN2,0.971404,1.238587,0.005685,120
nber,recession,NN2,0.777123,0.990869,0.004548,0
nber,expansion,NN2,1.019974,1.300516,0.005969,120
vix,low_vix,NN2,1.117114,1.424375,0.006537,120
vix,mid_vix,NN2,0.971404,1.238587,0.005685,0
vix,high_vix,NN2,0.825693,1.052799,0.004832,0
decade,2020s,NN2,1.104203,1.407912,0.006462,45
decade,2030s,NN2,0.915895,1.16781,0.00536,75
full,all,NN3,1.057192,1.352076,0.005508,120
nber,recession,NN3,0.845753,1.081661,0.004406,0
nber,expansion,NN3,1.110051,1.41968,0.005783,120
vix,low_vix,NN3,1.21577,1.554888,0.006334,120
vix,mid_vix,NN3,1.057192,1.352076,0.005508,0
vix,high_vix,NN3,0.898613,1.149265,0.004682,0
decade,2020s,NN3,1.093194,1.398121,0.005695,45
decade,2030s,NN3,1.11876,1.430818,0.005828,75
full,all,NN4,1.143586,1.47598,0.005302,120
nber,recession,NN4,0.914869,1.180784,0.004242,0
nber,expansion,NN4,1.200765,1.54978,0.005567,120
vix,low_vix,NN4,1.315124,1.697378,0.006098,120
vix,mid_vix,NN4,1.143586,1.47598,0.005302,0
vix,high_vix,NN4,0.972048,1.254583,0.004507,0
decade,2020s,NN4,1.09775,1.416821,0.00509,45
decade,2030s,NN4,1.117474,1.442279,0.005181,75
full,all,ENS-AVG,1.297605,1.606584,0.006598,120
nber,recession,ENS-AVG,1.167844,1.445926,0.005938,0
nber,expansion,ENS-AVG,1.323557,1.638716,0.00673,120
vix,low_vix,ENS-AVG,1.427365,1.767242,0.007257,120
vix,mid_vix,ENS-AVG,1.297605,1.606584,0.006598,0
vix,high_vix,ENS-AVG,1.193797,1.478057,0.00607,0
decade,2020s,ENS-AVG,1.401254,1.734913,0.007125,45
decade,2030s,ENS-AVG,1.188768,1.471832,0.006044,75
full,all,ENS-MSE,1.138861,1.426721,0.006174,120
nber,recession,ENS-MSE,1.024974,1.284049,0.005556,0
nber,expansion,ENS-MSE,1.161638,1.455256,0.006297,120
vix,low_vix,ENS-MSE,1.252747,1.569394,0.006791,120
vix,mid_vix,ENS-MSE,1.138861,1.426721,0.006174,0
vix,high_vix,ENS-MSE,1.047752,1.312584,0.00568,0
decade,2020s,ENS-MSE,0.98574,1.234898,0.005344,45
decade,2030s,ENS-MSE,1.052126,1.318064,0.005703,75
