,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,0.9666,9.4593,10.8053,3.5588,6.027,0.9661,16.4674,8.7527,0.9736,5.6384,18.9207,17.4641
mom6m,5.5717,2.4001,7.4586,1.2707,38.2075,5.0157,5.5616,5.597,6.9378,5.0957,14.007,2.8766
mom12m,1.4777,5.1623,11.316,9.5168,3.2918,12.3054,4.488,5.5725,11.0437,9.1935,7.1256,19.5067
mom36m,18.3156,3.8856,9.4626,9.2781,5.0149,4.0918,4.8461,12.4444,1.2709,3.7787,8.4197,19.1915
chmom,11.1869,2.1341,5.0724,8.89,2.7893,1.5278,20.0652,6.8248,10.1158,11.2368,6.9487,13.2082
indmom,9.3986,2.2709,7.3669,8.5494,6.795,19.5876,11.6558,5.0381,1.924,0.7891,12.1979,14.4266
mvel1,4.4825,11.7812,14.35,11.9166,9.3007,5.8644,4.7686,6.6177,8.2156,9.238,3.8055,9.6591
dolvol,3.7942,5.499,0.9911,6.0429,2.4358,13.9023,12.2481,10.5218,20.0631,15.3972,3.7313,5.3732
turn,29.3455,4.699,2.0494,8.8315,1.9231,4.3275,5.4618,5.7028,4.9482,16.9801,4.9643,10.7666
ill,1.9695,16.201,1.5644,2.6491,18.1071,3.6783,6.9555,8.0552,11.7341,8.1661,4.8409,16.079
baspread,2.9382,10.5839,5.2178,3.7361,11.9968,5.8853,11.0681,8.6315,5.0563,20.2861,9.4144,5.1856
beta,5.9265,3.6895,21.806,11.7302,8.6757,9.619,1.8197,1.6954,8.0938,5.3757,5.1913,16.3773
betasq,22.615,2.7602,11.1514,5.1759,0.7117,2.8943,10.4981,15.8509,1.87,16.9434,5.5846,3.9444
idiovol,18.5817,17.3294,14.1241,2.9346,9.3203,4.4171,1.2381,7.5177,1.3319,6.9948,5.6998,10.5104
retvol,8.2882,1.2286,17.5674,12.671,9.4643,6.8617,12.7061,6.5571,3.4478,9.2383,8.2409,3.7286
bm,13.3406,7.8365,8.4458,5.083,8.0665,3.8541,5.8105,17.4258,12.7925,2.6002,4.4873,10.2572
ep,17.4468,6.0391,3.6329,10.2644,4.1934,15.8481,9.1199,4.5205,10.0106,8.1257,3.7058,7.0928
sp,3.7175,6.9768,22.7027,6.3145,7.9552,5.7266,5.5258,10.3526,12.3159,10.6748,6.0346,1.7029
cfp,9.9591,2.1281,15.5442,4.4395,9.5302,1.7125,4.7325,9.4081,11.6618,19.1148,5.6576,6.1117
dy,5.4303,8.9279,5.194,19.0546,8.3221,12.6167,9.3867,5.5703,15.1315,3.8139,5.7067,0.8452
agr,0.5424,3.0923,10.6716,13.8893,12.3376,3.6198,19.4249,7.9274,8.326,7.631,7.1675,5.3702
invest,19.019,11.7484,16.1001,4.518,4.3312,5.0053,6.3129,1.792,4.8447,2.3814,9.7474,14.1995
operprof,2.9705,3.2657,5.4616,4.0736,10.3682,19.8198,12.2032,8.7725,15.8758,6.4468,2.1104,8.632
gma,10.3407,2.228,19.5141,10.8162,1.3948,10.6012,15.5789,2.503,5.3662,11.4695,4.3465,5.841
roeq,4.4301,5.7699,10.0278,11.5016,4.5466,6.5286,10.7686,2.8941,11.5856,12.6752,11.8251,7.4467
roaq,6.7503,4.6629,3.5016,20.2916,14.5008,4.438,4.901,8.0278,6.2293,5.5396,8.5945,12.5627
acc,11.0455,12.3509,18.0584,4.5455,7.8893,13.6334,1.2345,1.0153,15.9492,5.7705,4.4979,4.0096
lev,2.502,4.2261,12.4536,12.1644,18.719,0.8206,8.6295,5.3258,2.5494,23.8911,5.7209,2.9975
sgr,7.9546,9.4665,13.9165,8.707,6.6051,11.3463,5.3682,14.5583,9.6324,3.0457,2.1021,7.2972
lgr,12.9915,1.81,7.304,7.0755,5.6483,11.0162,14.0775,4.0051,2.0791,8.6538,4.7581,20.5809
age,4.5119,11.251,6.9502,12.2304,4.4089,10.0536,7.8233,2.1888,5.4817,10.4323,12.1215,12.5466
depr,1.1504,0.9962,25.3524,9.6264,7.0647,3.7806,7.2163,5.9147,0.2789,9.3516,21.1267,8.1411
chinv,4.9604,16.3669,7.4152,12.1264,7.0869,10.1016,2.8416,7.2376,13.2026,5.7425,10.8102,2.1079
