Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.187915,-0.185482,,5715.761563,0.120556,-0.622262,0.006929,1.531998,-142.015357,-0.594238
ENet+H,-0.187724,-0.185482,,14731.566569,0.120576,-0.622244,0.00196,1.532287,-153.836403,-0.593635
PCR,-0.188139,-0.185482,,4779.161582,0.120601,-0.622281,0.006268,1.573343,-133.728475,-0.594947
PLS,-0.187884,-0.185482,,6100.749429,0.120574,-0.622206,0.004019,1.546535,-145.178501,-0.594143
GLM+H,-0.187456,-0.185482,,14597.679695,0.120562,-0.622244,-0.002635,1.540928,-175.761464,-0.592787
GBRT+H,-0.188138,-0.185482,,4541.119782,0.12057,-0.622269,0.000648,1.544902,-131.384228,-0.594945
NN1,-0.187729,-0.185482,,6587.456187,0.120546,-0.622191,0.001015,1.553932,-155.858296,-0.593652
NN2,-0.18782,-0.185482,,9987.738288,0.120558,-0.622206,0.00365,1.551173,-149.525294,-0.593939
NN3,-0.187715,-0.185482,,7891.207936,0.120587,-0.622163,0.007246,1.568854,-158.220676,-0.593606
NN4,-0.188554,-0.185482,,2213.861979,0.120545,-0.622274,0.009017,1.55401,-114.536872,-0.596259
ENS-AVG,-0.187888,-0.185482,,6505.725921,0.120584,-0.622257,0.001829,1.58443,-148.386817,-0.594155
ENS-MSE,-0.187994,-0.185482,,5545.736905,0.120602,-0.62219,0.007059,1.566074,-140.614331,-0.594488
