,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.7698040771502821,0.7289140197687904,0.6374509703282037,0.8258997214250363,0.4475003629894271,0.6019552380920112,0.3158818644045299,0.5555544813084131,0.4927465704100096,0.6805906012354723,0.3990412891692288
ENet+H,0.7392257776131057,,0.31567170486698626,0.5799794449901554,0.902230310138296,0.30676988953209927,0.6112993452882622,0.9076745684533363,0.7208239958968748,0.7809941798766766,0.9249841423327916,0.31974140967509374
PCR,0.32522915149949666,0.5946112434149571,,0.6250217998427626,0.8685806162581495,0.5105956354125836,0.7540234476035952,0.8679054768188657,0.5478753738050538,0.3978468878565921,0.8909021888926303,0.703952930576362
PLS,0.4645194748780138,0.8478766572843408,0.3058614405088269,,0.9376846745165173,0.6218316347580344,0.7559439525113527,0.9074874680379232,0.6722384784311004,0.5078622962877443,0.832972407205274,0.6697576188550832
GLM+H,0.31575002442046124,0.7992674330287235,0.40001586070752165,0.33696799678827666,,0.7468910779340348,0.3071191051961406,0.3140981731829166,0.41094985460171596,0.6269576743308731,0.5074512168943818,0.6488536024479774
GBRT+H,0.5601924150884849,0.6728300365777947,0.4639098624564284,0.3888680942862071,0.41084801196610965,,0.6741423706819062,0.5509588708603395,0.6864630057540215,0.3660847779233881,0.8372406266314039,0.6439437880102555
NN1,0.6407552673485335,0.6040644455398388,0.6939625842635057,0.7780995799352304,0.6026655469378857,0.9049150164298139,,0.8571423010225909,0.6948800018206778,0.7949334773480364,0.633272119481708,0.6756924393667748
NN2,0.5443753763469038,0.8237230403511973,0.8913536644111051,0.32652651813057054,0.5150357583831797,0.50416599955908,0.7896831174302354,,0.7028663226008427,0.5083911664677432,0.644187689842616,0.6929981067909023
NN3,0.8153834250423082,0.8767982213850543,0.6928826939158781,0.5774678497408806,0.5064225802742958,0.8006704300913328,0.5606484035633897,0.4339677348670147,,0.628663183741184,0.5338541133489221,0.39316733704041373
NN4,0.685784742513585,0.3576698239035634,0.4785576231791917,0.8173307261110505,0.37875693966882373,0.8198574677107169,0.81946112132693,0.3581286442996803,0.8385716642514802,,0.6531971996316024,0.3592465162657248
ENS-AVG,0.37470220587769376,0.8097400282357816,0.6896174307116183,0.4026301621377956,0.8547969688132546,0.4940613996194647,0.8421268563476247,0.4202280872619297,0.30403347348385645,0.33411521890840956,,0.8751578853247084
ENS-MSE,0.32848669025823196,0.4916791684288262,0.37599131901012145,0.748861532845815,0.30021195846694954,0.43372780385781856,0.9097666735695638,0.6479528956173566,0.716433257600987,0.4002004906900361,0.42062275479450595,
