,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.06532577683455083,0.0759242480986548,-0.05179707845216948,0.19121019027258304,0.5289333377652513,-0.21096531236960267,-0.2692390652578365,-0.5599522778192904,-0.23884905093725534,0.30784158501172676,0.22420086831006772
ENet+H,-0.06532577683455083,,-0.10550990595284444,-0.5241894268098072,-0.32104510343068055,-0.13406451465647654,-0.2953169235919623,-0.3242701371492148,0.5652047894560925,-0.2781854679704109,-0.01599515791824964,0.4870525106379228
PCR,-0.0759242480986548,0.10550990595284444,,0.004741708067730527,0.28883970681852245,0.4913731727796776,-0.038285595166088385,0.03879610457699152,0.09845545087471282,-0.1259885069305958,0.16811100272622126,-0.0472400935176991
PLS,0.05179707845216948,0.5241894268098072,-0.004741708067730527,,-0.48632598924425097,-0.30238077298720656,-0.04846896971562159,-0.46953131553356775,0.568333038366136,-0.03937456641984924,0.27780759953725115,0.2335854691945368
GLM+H,-0.19121019027258304,0.32104510343068055,-0.28883970681852245,0.48632598924425097,,0.5624224678874243,0.5409038229562823,0.022006541345799602,-0.0797228353294612,-0.3345199423066675,0.27776999057826296,-0.04990456063977912
GBRT+H,-0.5289333377652513,0.13406451465647654,-0.4913731727796776,0.30238077298720656,-0.5624224678874243,,-0.18026359844664366,0.2584790963935155,-0.3757877593010348,-0.05445334650232114,0.1766065791866162,0.2172343992279498
NN1,0.21096531236960267,0.2953169235919623,0.038285595166088385,0.04846896971562159,-0.5409038229562823,0.18026359844664366,,0.1978887165267832,-0.115922463566771,-0.019386355880171457,-0.2997161717712008,0.28591778872242196
NN2,0.2692390652578365,0.3242701371492148,-0.03879610457699152,0.46953131553356775,-0.022006541345799602,-0.2584790963935155,-0.1978887165267832,,-0.488275168162509,0.42987152565951975,-0.21224262324824322,-0.2234650492636454
NN3,0.5599522778192904,-0.5652047894560925,-0.09845545087471282,-0.568333038366136,0.0797228353294612,0.3757877593010348,0.115922463566771,0.488275168162509,,-0.42490308779198205,0.3857428918858209,-0.053931467435901714
NN4,0.23884905093725534,0.2781854679704109,0.1259885069305958,0.03937456641984924,0.3345199423066675,0.05445334650232114,0.019386355880171457,-0.42987152565951975,0.42490308779198205,,0.24759444817821744,-0.24749413603741066
ENS-AVG,-0.30784158501172676,0.01599515791824964,-0.16811100272622126,-0.27780759953725115,-0.27776999057826296,-0.1766065791866162,0.2997161717712008,0.21224262324824322,-0.3857428918858209,-0.24759444817821744,,-0.17320627298207963
ENS-MSE,-0.22420086831006772,-0.4870525106379228,0.0472400935176991,-0.2335854691945368,0.04990456063977912,-0.2172343992279498,-0.28591778872242196,0.2234650492636454,0.053931467435901714,0.24749413603741066,0.17320627298207963,
