regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,-0.187915,-0.185482,-0.118346,120
nber,recession,OLS-3,0.34576,0.348766,0.175425,20
nber,expansion,OLS-3,-0.271464,-0.269114,-0.1771,100
vix,low_vix,OLS-3,-0.314837,-0.312172,-0.181513,40
vix,mid_vix,OLS-3,-0.540904,-0.538517,-0.343458,40
vix,high_vix,OLS-3,0.249769,0.252035,0.169932,40
decade,2020s,OLS-3,0.546724,0.5494,0.315601,45
decade,2030s,OLS-3,-0.581317,-0.578982,-0.378715,75
full,all,ENet+H,-0.187724,-0.185482,-0.128197,120
nber,recession,ENet+H,0.346044,0.348766,0.190376,20
nber,expansion,ENet+H,-0.271287,-0.269114,-0.191912,100
vix,low_vix,ENet+H,-0.314673,-0.312172,-0.196717,40
vix,mid_vix,ENet+H,-0.540693,-0.538517,-0.37228,40
vix,high_vix,ENet+H,0.24996,0.252035,0.184406,40
decade,2020s,ENet+H,0.546921,0.5494,0.342351,45
decade,2030s,ENet+H,-0.581142,-0.578982,-0.410526,75
full,all,PCR,-0.188139,-0.185482,-0.11144,120
nber,recession,PCR,0.345526,0.348766,0.164878,20
nber,expansion,PCR,-0.271686,-0.269114,-0.166704,100
vix,low_vix,PCR,-0.31508,-0.312172,-0.170852,40
vix,mid_vix,PCR,-0.541168,-0.538517,-0.323186,40
vix,high_vix,PCR,0.249601,0.252035,0.159717,40
decade,2020s,PCR,0.546545,0.5494,0.296744,45
decade,2030s,PCR,-0.58159,-0.578982,-0.356351,75
full,all,PLS,-0.187884,-0.185482,-0.120982,120
nber,recession,PLS,0.345776,0.348766,0.179368,20
nber,expansion,PLS,-0.271431,-0.269114,-0.181052,100
vix,low_vix,PLS,-0.314852,-0.312172,-0.185595,40
vix,mid_vix,PLS,-0.540881,-0.538517,-0.351139,40
vix,high_vix,PLS,0.249826,0.252035,0.173788,40
decade,2020s,PLS,0.546806,0.5494,0.32273,45
decade,2030s,PLS,-0.581314,-0.578982,-0.38721,75
full,all,GLM+H,-0.187456,-0.185482,-0.146468,120
nber,recession,GLM+H,0.346222,0.348766,0.217937,20
nber,expansion,GLM+H,-0.271006,-0.269114,-0.219349,100
vix,low_vix,GLM+H,-0.314311,-0.312172,-0.224821,40
