,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,12.26,9.4686,16.238,1.3071,8.6071,4.3028,10.4447,9.7931,9.5687,7.3679,7.1122,3.5298
mom6m,2.0149,2.3249,7.5315,7.0738,14.7869,0.6455,15.8604,1.4258,17.114,17.6663,8.3439,5.212
mom12m,11.7102,12.029,6.829,4.0122,1.5929,8.3865,4.9627,17.7586,11.8988,10.1269,5.2285,5.4649
mom36m,3.6285,15.0475,2.4572,10.8522,3.151,6.5723,7.1628,25.3329,2.9329,8.8456,11.2086,2.8086
chmom,8.3839,0.8458,0.4123,25.7056,10.6284,13.3167,7.0047,5.4253,6.3761,4.5907,4.0064,13.3041
indmom,20.2104,1.4013,0.9533,8.1119,12.5658,8.9511,15.7193,6.9738,10.7691,1.2805,4.0231,9.0402
mvel1,6.9596,1.0528,3.3116,4.9846,3.4635,2.681,14.7261,9.8365,13.9004,17.512,15.8495,5.7224
dolvol,14.0371,1.9512,9.9649,12.7176,17.3829,4.699,3.7626,12.5506,1.2733,5.9709,12.0706,3.6193
turn,4.2574,6.7536,8.5409,3.4815,11.6435,9.6495,8.6694,16.835,15.2402,4.2457,6.0545,4.6288
ill,3.0864,5.2481,9.4297,11.524,11.1081,5.8742,4.9531,8.8292,9.6357,9.0211,3.974,17.3163
baspread,5.8384,13.7552,3.1711,4.1425,5.5908,9.6802,2.7394,7.0081,27.0164,4.325,10.9598,5.7731
beta,18.2397,8.9623,10.3584,10.6458,4.7405,7.5259,9.5159,4.0152,5.6785,4.8316,6.3853,9.101
betasq,7.0581,6.0069,10.0082,2.9013,6.594,4.168,10.6741,13.5749,10.2834,11.2648,13.1228,4.3436
idiovol,8.8485,6.9622,3.1115,7.3753,3.5237,6.7564,4.2161,13.9747,2.299,18.1859,11.7439,13.0028
retvol,8.8434,7.2732,14.8586,2.5911,13.4648,8.1404,5.3306,5.1043,5.7709,12.0775,10.7591,5.7861
bm,13.662,7.7842,1.7488,9.7283,2.5394,0.759,12.5127,16.5934,1.3332,5.1434,12.0306,16.165
ep,12.2879,7.1373,9.6149,5.875,11.5195,7.9265,3.1345,3.5995,4.5404,18.9098,7.4682,7.9865
sp,9.7271,18.3154,2.0786,8.3341,4.0316,18.2492,7.9904,6.4238,7.4617,6.0109,7.2754,4.1019
cfp,3.7918,4.5486,9.4564,15.4282,8.3912,4.6276,3.1192,29.3817,7.2158,1.6307,3.3745,9.0344
dy,3.5756,6.0025,18.1706,14.9113,3.3996,17.024,5.9345,6.2946,5.4306,3.4529,12.262,3.5418
agr,17.5104,8.5316,6.9767,9.6864,6.2749,0.5467,4.9682,7.0141,3.0628,4.4624,9.2857,21.68
invest,21.7754,2.7033,14.0952,1.1384,4.8506,9.0846,9.9224,2.4679,4.0345,5.7953,14.6082,9.5242
operprof,16.1693,11.781,5.9053,1.7291,6.607,5.0449,3.9188,11.3512,3.3619,17.3736,6.143,10.615
gma,5.7573,22.4763,15.7287,8.5003,5.062,8.2921,12.5639,9.2867,4.2466,1.5326,2.4162,4.1375
roeq,8.931,11.2142,3.5508,2.2486,4.3815,1.8356,7.3809,4.5431,26.5199,7.1654,12.6106,9.6184
roaq,4.7879,10.205,5.6678,13.0741,2.2527,11.2779,11.3358,10.7474,14.5412,1.911,6.9836,7.2155
acc,4.5692,1.0265,7.6307,14.8216,15.8222,11.5155,6.337,13.6851,9.2264,6.0585,5.8106,3.4968
lev,16.1636,11.6125,7.7764,9.3364,4.5372,9.6435,8.7154,5.0124,4.3487,14.4101,3.1475,5.2963
sgr,2.6156,15.1995,4.7289,9.1807,9.8982,2.6805,4.8429,6.6297,12.721,18.5876,10.0947,2.8207
lgr,14.6181,10.6717,7.486,3.4085,5.1736,8.6557,2.4728,7.2517,3.569,0.672,23.9188,12.1022
age,5.083,24.2596,6.1636,6.2155,8.2911,8.806,4.5334,5.7259,8.483,4.9098,4.6992,12.83
depr,2.6629,8.3354,9.0369,9.7573,26.8635,8.4011,3.5323,5.5608,4.6954,7.5339,4.2642,9.3564
chinv,3.4052,11.5848,10.2304,1.4905,15.171,15.4818,1.3008,4.6679,2.5578,15.699,6.691,11.7197
