Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-1.093959,-1.09137,,1298.061585,0.418821,0.306115,-0.000132,1.544555,-786.496236,-3.459403
ENet+H,-1.094147,-1.09137,,1193.976139,0.418889,0.306268,-0.007813,1.532526,-721.319885,-3.459997
PCR,-1.094134,-1.09137,,1228.411237,0.418832,0.30605,-0.001373,1.556278,-740.186832,-3.459955
PLS,-1.094476,-1.09137,,168.751519,0.41879,0.306109,-0.005169,1.532889,-646.367205,-3.461037
GLM+H,-1.094943,-1.09137,,147.609326,0.418859,0.306108,-0.004623,1.542649,-565.519697,-3.462515
GBRT+H,-1.093724,-1.09137,,1342.42468,0.418856,0.306157,-0.005394,1.551768,-860.658033,-3.45866
NN1,-1.094212,-1.09137,,1184.96905,0.418784,0.306059,-0.002744,1.553831,-716.584571,-3.460202
NN2,-1.09392,-1.09137,,742.889353,0.418864,0.306153,-0.005361,1.559018,-802.438124,-3.459278
NN3,-1.094222,-1.09137,,1168.017885,0.418784,0.306052,-0.004252,1.548923,-708.527748,-3.460234
NN4,-1.094091,-1.09137,,1223.198397,0.418867,0.306139,-0.014482,1.53126,-736.946187,-3.459819
ENS-AVG,-1.094003,-1.09137,,1292.332216,0.418858,0.30608,-0.007804,1.571803,-781.702919,-3.459542
ENS-MSE,-1.094542,-1.09137,,166.036697,0.418853,0.306166,-0.009044,1.534051,-636.047504,-3.461247
