,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.5368892999945554,0.484213070767408,0.8280779907571789,0.8466981163194673,0.909809922674149,0.41485192572103047,0.8428623186942674,0.7009130760448119,0.5863542296386801,0.8769073573372188,0.8416229399575914
ENet+H,0.8298128604143622,,0.39325978461737426,0.40000450087724365,0.8042836443585268,0.7674867603059663,0.8550401051466685,0.49005215775347855,0.7226224691142739,0.9478707938493094,0.38455668693592177,0.6882854773877924
PCR,0.8206590076827907,0.5162609212116192,,0.8567743343224805,0.8596164300397771,0.5538591364463118,0.6960657679050073,0.3382473329616683,0.45033725998661833,0.34976058810359956,0.3737054362525726,0.7189731501045814
PLS,0.42391490040694,0.44129533626542433,0.35866375361698954,,0.4279771836113465,0.39761778583279184,0.3666733400346364,0.5955197132490653,0.3060047010269583,0.8663571162948474,0.36169709599373656,0.809784463733284
GLM+H,0.49777961301356366,0.3381556870726835,0.873261271008589,0.5845120130357105,,0.7525017535595164,0.8491541310562603,0.6121445775276956,0.7020231353658327,0.6108722055411313,0.648525138819467,0.3667260596058833
GBRT+H,0.5551974315424728,0.6406677286275757,0.4259756052546918,0.331361545660917,0.7782982348183122,,0.9395882603659427,0.4024646775183164,0.3012204021789136,0.48577886089735256,0.7378766231835496,0.3725518011063076
NN1,0.346665350883333,0.835486449175217,0.5296592320552418,0.521639821261942,0.6396231483056607,0.6855350555099174,,0.31156036012576105,0.537819865166935,0.3501011483156997,0.6667306915979969,0.7713770917666977
NN2,0.9068294680144946,0.3477324108908875,0.5070050675786165,0.8223243870206205,0.4187989067717111,0.6831214185761038,0.48150881342506896,,0.34562229589496707,0.6472873980534091,0.4767241883916815,0.6553910621813199
NN3,0.8584512903088379,0.3569331617867928,0.3661413465284501,0.9081564175031012,0.6988266828174026,0.4858475079734752,0.5683048798793913,0.3466426456875781,,0.8028013734649173,0.7673741547560088,0.6506491127511729
NN4,0.84951955856829,0.5945244188723908,0.7778730318592861,0.7000696329762452,0.8387742490742411,0.48345952177414186,0.5788814704523995,0.5697913869693895,0.7252106674517613,,0.7073321577598831,0.3526880382976135
ENS-AVG,0.8197217800010677,0.3086984090291629,0.871317989873019,0.6629159841370607,0.8300821610157951,0.5789492294090715,0.3224413757502674,0.6330488995675156,0.860992638645786,0.7878892078892932,,0.6736497990552734
ENS-MSE,0.3793201224301119,0.8983860304794276,0.6436249432216113,0.8749137827333389,0.7674495006844286,0.35822679407788527,0.6008172663875313,0.3429123031731936,0.6433021029089814,0.54876921567963,0.3684005002414019,
