,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.1413283930847107,-0.017828498348021943,-0.17881008779094262,0.635933949060273,-0.38155462483870356,0.29352169410339196,0.38302872542309496,-0.07216621585565164,0.3015606037063679,0.35916928196369136,-0.3868432926527891
ENet+H,0.1413283930847107,,-0.1647302714518759,0.10273092778735954,-0.032549120693970285,-0.3616230712979186,0.25488213019545714,-0.28315694553871995,-0.09842441012584371,-0.2725155531396358,-0.2739479501242783,0.5804452396039315
PCR,0.017828498348021943,0.1647302714518759,,-0.09145764742052412,0.2188489365240505,-0.3978320292834703,0.42257293105436494,-0.030837113079742434,0.5343596415687434,0.323882498569333,-0.23068566939997343,-0.175606426528518
PLS,0.17881008779094262,-0.10273092778735954,0.09145764742052412,,0.7490654677635702,-0.17298732919178123,-0.38864026328867407,0.3106704207564929,0.427704230344138,-0.01599148580302351,0.6305983123132055,-0.2819338473444856
GLM+H,-0.635933949060273,0.032549120693970285,-0.2188489365240505,-0.7490654677635702,,0.7976257144998289,0.7765215115891915,0.5831232873025015,-0.12664688278180575,-0.055493599658386294,-0.4861670316279957,0.21683228181172834
GBRT+H,0.38155462483870356,0.3616230712979186,0.3978320292834703,0.17298732919178123,-0.7976257144998289,,0.1061204818923627,0.39604754112644225,-0.2086477869851057,-0.2974926956270665,-0.33852851170113135,-0.09870413380791104
NN1,-0.29352169410339196,-0.25488213019545714,-0.42257293105436494,0.38864026328867407,-0.7765215115891915,-0.1061204818923627,,-0.1803239060277112,-0.2732793206790312,-0.17317391639364255,0.20285484954841357,0.07501391189461823
NN2,-0.38302872542309496,0.28315694553871995,0.030837113079742434,-0.3106704207564929,-0.5831232873025015,-0.39604754112644225,0.1803239060277112,,-0.31657341586458,-0.16088816762286778,0.1928526030408045,0.32021623350156
NN3,0.07216621585565164,0.09842441012584371,-0.5343596415687434,-0.427704230344138,0.12664688278180575,0.2086477869851057,0.2732793206790312,0.31657341586458,,0.4220314243922782,0.46660649351781847,0.49103517034344224
NN4,-0.3015606037063679,0.2725155531396358,-0.323882498569333,0.01599148580302351,0.055493599658386294,0.2974926956270665,0.17317391639364255,0.16088816762286778,-0.4220314243922782,,0.17711517568581886,0.15939580106221946
ENS-AVG,-0.35916928196369136,0.2739479501242783,0.23068566939997343,-0.6305983123132055,0.4861670316279957,0.33852851170113135,-0.20285484954841357,-0.1928526030408045,-0.46660649351781847,-0.17711517568581886,,-0.42949847839374955
ENS-MSE,0.3868432926527891,-0.5804452396039315,0.175606426528518,0.2819338473444856,-0.21683228181172834,0.09870413380791104,-0.07501391189461823,-0.32021623350156,-0.49103517034344224,-0.15939580106221946,0.42949847839374955,
