regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,0.384621,0.593709,0.002878,120
nber,recession,OLS-3,-0.156271,0.167253,-0.000763,20
nber,expansion,OLS-3,0.456322,0.653811,0.003607,100
vix,low_vix,OLS-3,0.805156,1.026534,0.005713,40
vix,mid_vix,OLS-3,0.240908,0.476739,0.001634,40
vix,high_vix,OLS-3,0.15019,0.328042,0.001287,40
decade,2020s,OLS-3,0.358981,0.577514,0.002585,45
decade,2030s,OLS-3,0.396896,0.599521,0.003054,75
full,all,ENet+H,0.13157,0.34081,0.000972,120
nber,recession,ENet+H,0.138291,0.368929,0.000969,20
nber,expansion,ENet+H,0.129763,0.334132,0.000973,100
vix,low_vix,ENet+H,0.268644,0.439996,0.002392,40
vix,mid_vix,ENet+H,0.118973,0.34261,0.000835,40
vix,high_vix,ENet+H,-0.050449,0.200511,-0.00031,40
decade,2020s,ENet+H,-0.229993,-0.034308,-0.001813,45
decade,2030s,ENet+H,0.372984,0.591301,0.002644,75
full,all,PCR,0.330745,0.579299,0.002045,120
nber,recession,PCR,0.739335,0.976673,0.004855,20
nber,expansion,PCR,0.242127,0.492464,0.001483,100
vix,low_vix,PCR,0.173728,0.391857,0.001217,40
vix,mid_vix,PCR,0.86259,1.11417,0.005283,40
vix,high_vix,PCR,-0.068019,0.220299,-0.000364,40
decade,2020s,PCR,0.317918,0.558986,0.002034,45
decade,2030s,PCR,0.336643,0.588269,0.002052,75
full,all,PLS,0.174919,0.396033,0.001211,120
nber,recession,PLS,0.252666,0.456072,0.001874,20
nber,expansion,PLS,0.157219,0.381032,0.001078,100
vix,low_vix,PLS,-0.324266,-0.123319,-0.002514,40
vix,mid_vix,PLS,1.590491,1.829684,0.009963,40
vix,high_vix,PLS,-0.627349,-0.375014,-0.003816,40
decade,2020s,PLS,-0.474651,-0.253293,-0.0033,45
decade,2030s,PLS,0.573278,0.796463,0.003917,75
full,all,GLM+H,-0.496636,-0.295795,-0.003872,120
nber,recession,GLM+H,-0.272427,-0.066701,-0.002044,20
nber,expansion,GLM+H,-0.537344,-0.338192,-0.004238,100
