,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,12.0696,3.6654,11.6376,4.7445,5.816,23.0848,7.1343,8.7741,5.6716,6.4213,6.6029,4.378
mom6m,3.3991,2.8028,9.906,1.1626,1.5015,23.8145,11.5354,1.7757,12.0006,10.0804,3.6074,18.414
mom12m,7.0878,10.7382,1.9859,12.8554,0.3513,9.3347,14.7724,14.5976,13.4514,4.1372,5.2926,5.3955
mom36m,6.0299,16.419,6.5277,5.0097,4.1826,10.2988,3.0546,6.5468,7.7859,14.5883,4.9143,14.6423
chmom,9.968,2.1098,8.8419,8.569,6.5573,18.5693,10.3391,0.5473,3.376,7.6863,15.4069,8.0289
indmom,2.7751,12.1415,2.89,9.5717,3.762,6.9773,29.9952,6.0148,2.0942,12.9102,6.8722,3.9958
mvel1,8.1215,4.2171,20.4121,8.3755,0.476,8.1817,1.5283,3.1377,9.8701,10.3602,10.1489,15.1707
dolvol,3.9762,3.1461,3.7137,10.0748,13.9502,4.9472,5.3046,3.0981,15.3906,12.5933,7.1453,16.6601
turn,8.7041,4.8983,16.8164,4.6454,3.3273,16.7932,23.1047,0.9488,4.7787,3.911,10.3598,1.7122
ill,11.3431,1.1927,0.5512,8.0153,13.9677,36.8058,5.902,2.7488,2.7654,3.227,9.7562,3.7248
baspread,3.5687,12.9321,2.2486,13.187,6.0261,2.6382,6.3717,15.2989,7.4465,11.5464,3.4264,15.3094
beta,14.167,11.998,4.5355,4.3965,4.2218,8.1413,8.2549,8.7616,7.7172,5.6882,20.1164,2.0016
betasq,8.2544,8.8068,4.3631,3.7958,6.3065,2.8801,13.5424,19.9071,8.5592,6.3782,6.7423,10.4641
idiovol,1.2044,13.5253,4.8692,9.9093,8.8105,8.424,3.1896,21.3188,6.6217,16.5673,3.8819,1.6778
retvol,7.8142,7.6187,10.6123,4.3594,2.6494,6.8285,2.4541,5.4069,20.2132,11.1025,9.346,11.5947
bm,18.0925,11.6993,7.672,4.9105,12.6292,4.567,11.8249,1.4503,7.2922,12.8222,2.5397,4.5002
ep,12.9949,4.8681,2.17,21.4199,4.2467,6.8848,11.2665,4.3821,2.2748,7.8948,5.5009,16.0965
sp,3.3979,25.0828,3.4418,6.0551,2.601,2.917,14.7301,12.0638,5.663,9.2252,5.1712,9.651
cfp,2.8642,18.1489,25.0925,2.8161,14.7866,4.3368,1.2776,10.5392,6.893,7.3096,2.142,3.7933
dy,12.1002,12.3257,9.4226,0.038,4.372,9.1582,4.826,7.2809,13.3937,6.7906,10.7843,9.5077
agr,23.9293,2.0251,5.2668,7.0803,4.5935,7.3948,21.9159,4.0841,5.4984,6.1645,3.9571,8.0902
invest,7.0145,3.377,3.3919,8.9492,2.963,10.8081,6.1157,1.5998,25.3849,11.792,5.8139,12.7902
operprof,4.8125,3.0486,11.766,21.0268,1.6484,5.0883,1.7642,16.1337,6.1938,4.8674,22.1235,1.5267
gma,12.4921,6.0426,5.1425,14.7795,12.9659,12.4155,4.2517,4.6289,0.8477,13.302,4.8419,8.2897
roeq,25.7948,10.608,20.9941,7.5953,3.743,1.5281,5.2801,4.1099,9.7403,4.3052,4.6408,1.6605
roaq,21.1416,5.3539,16.3727,7.4447,8.855,3.0277,8.0098,8.9611,5.8256,9.1914,2.7511,3.0654
acc,4.179,21.1334,7.7164,0.5155,2.6175,15.1894,3.5904,7.2114,3.3297,0.6061,5.7518,28.1594
lev,12.4176,10.8706,17.5118,11.2867,2.9718,7.884,4.7374,11.0289,0.1878,4.3068,6.8589,9.9376
sgr,1.8676,8.5149,14.1004,6.7291,15.5484,4.1659,14.1325,4.4858,13.5038,11.2166,3.6434,2.0918
lgr,11.3818,5.7784,16.9392,11.0123,5.2688,4.6883,6.7538,3.0831,6.2407,11.3526,12.2537,5.2474
age,9.9761,19.1123,22.374,0.7604,3.9954,7.8909,4.1831,5.1571,5.7315,7.1552,6.1963,7.4678
depr,11.2652,8.3179,1.7098,8.1669,4.8731,10.5706,3.7878,8.8781,19.721,11.5574,3.713,7.4391
chinv,6.687,1.6097,11.9306,22.5682,2.1923,7.3108,11.0998,8.9489,7.0807,4.0002,5.2654,11.3065
