Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.023177,-0.020338,,799342.140489,0.425147,0.381276,0.002811,1.552653,-15.212116,-0.073291
ENet+H,-0.023083,-0.020338,,2048.187692,0.42514,0.381365,0.010079,1.559887,-15.740668,-0.072995
PCR,-0.023223,-0.020338,,316586.990283,0.425117,0.381154,0.004809,1.572363,-15.187294,-0.073438
PLS,-0.023139,-0.020338,,1972.399075,0.425188,0.381493,0.015726,1.573975,-15.603143,-0.073172
GLM+H,-0.023189,-0.020338,,390.76687,0.425135,0.381349,0.00693,1.510203,-14.741207,-0.073329
GBRT+H,-0.023401,-0.020338,,833708.707523,0.4251,0.381164,0.018057,1.54329,-14.147101,-0.074002
NN1,-0.022708,-0.020338,,29226898.407409,0.425157,0.38131,0.008174,1.573789,-18.092453,-0.07181
NN2,-0.023084,-0.020338,,2030.133761,0.425157,0.381305,0.018523,1.55639,-15.699107,-0.072998
NN3,-0.023157,-0.020338,,295257.32431,0.425124,0.381133,0.018277,1.535947,-15.142957,-0.073228
NN4,-0.023136,-0.020338,,2610549.300847,0.425195,0.381288,0.016396,1.548458,-15.366293,-0.073161
ENS-AVG,-0.02261,-0.020338,,32152517.489707,0.425156,0.381262,0.021963,1.538754,-18.37812,-0.071498
ENS-MSE,-0.022879,-0.020338,,2663.452608,0.425115,0.381165,0.024114,1.561613,-16.874045,-0.072349
