,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.7258280182596806,0.8167893955858194,0.944983561333169,0.760900223921184,0.6833780644985792,0.6886324507594097,0.7953560380074449,0.5087500372379891,0.8465243789841581,0.6566416488348016,0.3917614958855144
ENet+H,0.3189579172298932,,0.8905237611949786,0.927533571721231,0.5529568063843089,0.6331510983561599,0.39055737305556676,0.659002485764133,0.4774189185686886,0.7052614111637318,0.797881121332819,0.8283574568675314
PCR,0.463362208721579,0.39441696439994445,,0.47594842289041683,0.45872133694595174,0.8756184180324298,0.3263663099790572,0.46987746196367863,0.47330566660320594,0.471429135241754,0.7344186129336661,0.6566665464456225
PLS,0.6940874539129473,0.7342238444121911,0.8258809375935268,,0.7333149841807063,0.8556667120084125,0.812784176981376,0.6429869986233377,0.8221704202312972,0.3341036153658648,0.7849127253391114,0.7902420634965537
GLM+H,0.5104329313517981,0.6881480078087987,0.8081020213076724,0.7600008076940301,,0.933061765111614,0.5950889161102635,0.7088918085088953,0.8820243765063123,0.3166092186274768,0.4836909066318455,0.6943841472525414
GBRT+H,0.36183552092163423,0.6979498393806465,0.45510357667706036,0.5108102061332032,0.3387540111451176,,0.7925128688011209,0.45448273635535147,0.4412550330541263,0.3505167038638865,0.4584942684597537,0.7095207685924028
NN1,0.3573548900608034,0.8463084996966741,0.7693570382069765,0.9062370699996012,0.8677867611329269,0.3265971628759329,,0.5536751718144819,0.782183030147908,0.4802895537067698,0.7100196484543271,0.8271465685842962
NN2,0.7013086257863892,0.7102519076351659,0.685982035345511,0.3052471356449411,0.5618410025767577,0.39693295036517506,0.6202184309004506,,0.8973102482679356,0.49643568174327835,0.41444742746839963,0.3843517404832137
NN3,0.5237491669876345,0.5489733782065251,0.38316040043643174,0.47570811146979697,0.6627683279205753,0.5299007424098042,0.9290633956128578,0.7653347606231753,,0.9248825059850654,0.5880548573591835,0.8307699435066944
NN4,0.5460275949940153,0.6604694256189528,0.3839422433859401,0.8624615738711683,0.45029134025806566,0.32082922137826525,0.31583042485350155,0.4461713258823452,0.8406480429920942,,0.4228027301148612,0.45000735738236936
ENS-AVG,0.404671463647474,0.8484714443505021,0.464534089350695,0.7292006953592693,0.838351216257454,0.684178782167889,0.3482929807861385,0.37926674088238604,0.9015033295098849,0.5652263807169857,,0.763174465295924
ENS-MSE,0.3527655239035449,0.9361684718165777,0.9332497056050331,0.4184181130048477,0.760301122769476,0.5270853942676819,0.42517523205599783,0.40966100126319716,0.462901112272897,0.3069189158365574,0.6351843947155587,
