,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,-0.1309744812324469,0.1813407578203572,0.03574778677193852,0.09119797819279957,1.034967324289025,-0.3208412375635176,0.8570135914797159,0.05861375748240216,0.08460955334090164,0.12456339905280533,-0.3593635124270692
ENet+H,0.1309744812324469,,0.033484549726321707,0.5058007520158891,0.15662735937706093,0.073911243385187,0.04537835942867138,-0.007733434298265868,0.3419714505222347,0.2858708891439424,-0.4788040482392022,-0.054452447671031246
PCR,-0.1813407578203572,-0.033484549726321707,,0.01024364293267039,-0.2806860513243123,0.22651289444297282,0.40228582335204227,0.18614722128140976,0.8540507477953523,0.19672290818865434,-0.2207401634103437,0.11410606866154063
PLS,-0.03574778677193852,-0.5058007520158891,-0.01024364293267039,,-0.19091358006372175,-0.3909929228774837,0.6021816842999443,0.8838672094598707,0.373141351945101,0.32785121691518776,0.21654238568766976,0.16366870278862233
GLM+H,-0.09119797819279957,-0.15662735937706093,0.2806860513243123,0.19091358006372175,,0.22183883349462719,-0.16003347296421572,-0.3788122185859734,0.2960193553963366,0.2614713114928893,0.17457332040143467,-0.14373903200862304
GBRT+H,-1.034967324289025,-0.073911243385187,-0.22651289444297282,0.3909929228774837,-0.22183883349462719,,0.3423560274815956,-0.06263409577671163,-0.2855865506997566,-0.2139985413510586,-0.23176923522890297,-0.37811302850989004
NN1,0.3208412375635176,-0.04537835942867138,-0.40228582335204227,-0.6021816842999443,0.16003347296421572,-0.3423560274815956,,0.06976253399359426,-0.384042456262249,0.08626364400996783,0.27380358815594324,0.4637036191282064
NN2,-0.8570135914797159,0.007733434298265868,-0.18614722128140976,-0.8838672094598707,0.3788122185859734,0.06263409577671163,-0.06976253399359426,,0.28680488406253546,0.29243463643388334,0.16976973052983652,-0.11841179904972558
NN3,-0.05861375748240216,-0.3419714505222347,-0.8540507477953523,-0.373141351945101,-0.2960193553963366,0.2855865506997566,0.384042456262249,-0.28680488406253546,,-0.26739417869723014,-0.06834965673091767,0.03215210465091939
NN4,-0.08460955334090164,-0.2858708891439424,-0.19672290818865434,-0.32785121691518776,-0.2614713114928893,0.2139985413510586,-0.08626364400996783,-0.29243463643388334,0.26739417869723014,,-0.5337219408018753,-0.17723612203639136
ENS-AVG,-0.12456339905280533,0.4788040482392022,0.2207401634103437,-0.21654238568766976,-0.17457332040143467,0.23176923522890297,-0.27380358815594324,-0.16976973052983652,0.06834965673091767,0.5337219408018753,,-0.6308363594870792
ENS-MSE,0.3593635124270692,0.054452447671031246,-0.11410606866154063,-0.16366870278862233,0.14373903200862304,0.37811302850989004,-0.4637036191282064,0.11841179904972558,-0.03215210465091939,0.17723612203639136,0.6308363594870792,
