regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,0.288502,0.578844,0.001533,120
nber,recession,OLS-3,0.172534,0.601768,0.000623,20
nber,expansion,OLS-3,0.305958,0.581016,0.001715,100
vix,low_vix,OLS-3,0.27544,0.571153,0.001428,40
vix,mid_vix,OLS-3,0.294853,0.591644,0.001565,40
vix,high_vix,OLS-3,0.287986,0.560491,0.001607,40
decade,2020s,OLS-3,0.451318,0.750294,0.002308,45
decade,2030s,OLS-3,0.195652,0.479335,0.001069,75
full,all,ENet+H,0.524883,0.855481,0.002459,120
nber,recession,ENet+H,1.126404,1.428615,0.00577,20
nber,expansion,ENet+H,0.390922,0.7282,0.001796,100
vix,low_vix,ENet+H,0.543428,0.870103,0.002601,40
vix,mid_vix,ENet+H,0.296571,0.581147,0.00163,40
vix,high_vix,ENet+H,0.848167,1.259196,0.003146,40
decade,2020s,ENet+H,0.012066,0.321493,5.9e-05,45
decade,2030s,ENet+H,0.85486,1.202162,0.003899,75
full,all,PCR,0.840821,1.135284,0.004427,120
nber,recession,PCR,1.297461,1.548109,0.00809,20
nber,expansion,PCR,0.73033,1.036339,0.003694,100
vix,low_vix,PCR,0.648782,0.907206,0.003782,40
vix,mid_vix,PCR,1.567959,1.903047,0.007399,40
vix,high_vix,PCR,0.403645,0.705935,0.002101,40
decade,2020s,PCR,0.701837,0.984005,0.003825,45
decade,2030s,PCR,0.923385,1.223655,0.004788,75
full,all,PLS,0.827242,1.067838,0.005269,120
nber,recession,PLS,0.72959,1.017918,0.00376,20
nber,expansion,PLS,0.843471,1.077024,0.005571,100
vix,low_vix,PLS,0.917152,1.138554,0.006418,40
vix,mid_vix,PLS,1.008008,1.24608,0.006505,40
vix,high_vix,PLS,0.506369,0.772048,0.002885,40
decade,2020s,PLS,0.555685,0.817141,0.003247,45
decade,2030s,PLS,0.970555,1.200606,0.006483,75
full,all,GLM+H,0.516662,0.866517,0.002275,120
nber,recession,GLM+H,0.437512,0.752034,0.002099,20
nber,expansion,GLM+H,0.531565,0.887558,0.00231,100
vix,low_vix,GLM+H,0.301585,0.62703,0.001416,40
vix,mid_vix,GLM+H,0.74111,1.123229,0.003076,40
vix,high_vix,GLM+H,0.524718,0.864676,0.002333,40
decade,2020s,GLM+H,1.036911,1.376282,0.004611,45
decade,2030s,GLM+H,0.200412,0.557851,0.000873,75
full,all,GBRT+H,1.365163,1.636066,0.007798,120
nber,recession,GBRT+H,1.380611,1.655074,0.007962,20
nber,expansion,GBRT+H,1.355106,1.623903,0.007765,100
vix,low_vix,GBRT+H,1.47517,1.741754,0.008516,40
vix,mid_vix,GBRT+H,1.284025,1.531321,0.008087,40
vix,high_vix,GBRT+H,1.32099,1.621545,0.006792,40
decade,2020s,GBRT+H,1.570811,1.851735,0.008649,45
decade,2030s,GBRT+H,1.242753,1.50665,0.007287,75
full,all,NN1,1.043007,1.339674,0.005447,120
nber,recession,NN1,0.596878,0.796354,0.004436,20
nber,expansion,NN1,1.200035,1.531654,0.005649,100
vix,low_vix,NN1,0.878458,1.172467,0.004658,40
vix,mid_vix,NN1,1.964877,2.293341,0.009072,40
vix,high_vix,NN1,0.462117,0.738466,0.002611,40
decade,2020s,NN1,1.168661,1.458947,0.006104,45
decade,2030s,NN1,0.961731,1.260077,0.005052,75
full,all,NN2,0.797904,1.07887,0.004379,120
