,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,9.4125,2.5939,7.4227,4.9539,18.376,6.0444,2.3465,17.7209,10.0925,9.4498,3.0698,8.517
mom6m,8.0862,6.1768,5.4567,4.645,15.1841,5.1777,12.7985,7.3191,14.3279,6.5408,9.5447,4.7425
mom12m,7.038,13.5266,5.976,6.2663,6.7905,4.8682,7.4058,4.6669,31.2484,1.891,6.5392,3.783
mom36m,8.1183,13.0796,14.8857,5.0179,2.0962,10.8253,9.5921,0.9342,15.0221,8.1306,6.6884,5.6096
chmom,5.995,4.6035,7.9759,9.2475,9.3698,6.2418,3.2203,3.4589,9.0071,5.7232,22.5284,12.6286
indmom,9.7209,2.9247,1.8396,9.969,13.6558,11.9103,6.5821,1.0835,1.6551,7.2856,20.3037,13.0696
mvel1,19.2307,9.7258,0.3552,6.2566,1.9291,1.1668,10.8979,3.2092,25.7344,7.8208,4.7932,8.8802
dolvol,2.361,0.7164,7.6117,1.3083,6.7039,4.7774,4.6761,12.2734,1.7698,15.8538,15.4151,26.5332
turn,12.6112,12.9487,18.3524,1.5394,15.158,7.3727,2.6872,4.8746,0.6076,4.001,13.8326,6.0146
ill,21.886,11.9479,16.4623,3.3915,4.7107,2.9643,3.1449,2.2986,0.8283,14.1726,8.3228,9.8699
baspread,0.4034,4.298,0.622,4.1866,38.5387,5.2975,1.9919,18.026,9.2274,1.7184,4.1248,11.5653
beta,3.0487,14.7449,4.6718,5.4796,17.4321,1.8686,8.6605,7.0421,15.7982,6.6461,3.079,11.5284
betasq,14.3622,4.1908,12.3132,5.3974,6.0775,12.2027,9.7814,2.9614,2.499,7.7166,13.8797,8.6183
idiovol,11.5268,4.4962,3.919,1.5403,15.3294,2.8298,1.6723,5.182,15.5008,12.0299,14.8594,11.114
retvol,21.2723,5.5949,16.6217,2.1501,7.1879,2.4453,8.2414,13.7124,7.5772,7.6368,1.8976,5.6624
bm,16.2578,5.8693,7.6264,6.5708,8.0603,2.8891,7.797,6.3127,2.0404,19.5099,8.9303,8.1361
ep,19.8367,1.1943,0.2331,4.5272,8.6256,28.422,16.3095,4.8858,3.292,3.5091,4.7601,4.4046
sp,8.8094,11.3315,10.1134,8.7099,2.393,3.4916,2.5964,6.4613,15.2664,5.166,9.9204,15.7408
cfp,12.8179,1.8134,7.3591,7.7062,4.4221,10.518,5.1611,9.2013,6.2326,16.8389,14.7256,3.2037
dy,12.3011,5.8317,9.6687,14.0989,6.2305,4.3113,7.7704,19.8817,4.8294,9.9499,1.3803,3.7462
agr,5.6605,5.6148,2.5881,17.4252,4.7278,10.5736,3.5019,9.187,19.415,9.9729,5.7054,5.6277
invest,4.0817,27.2497,1.4912,6.082,14.8357,17.1465,2.0744,3.0805,1.6022,10.9466,8.0163,3.3931
operprof,0.9031,17.5882,3.3819,1.5585,3.8236,15.4794,5.5794,6.412,12.9422,18.6894,9.1556,4.4867
gma,11.1157,4.1506,11.5396,8.7351,4.1057,6.2319,20.4083,16.0797,6.656,6.4247,0.5783,3.9742
roeq,13.2023,8.0202,2.2476,12.6681,3.973,12.0133,5.2314,3.4094,8.832,9.7573,12.169,8.4764
roaq,3.3987,3.0203,7.0613,5.5932,13.589,11.3424,8.098,17.3227,7.2533,3.3068,8.3562,11.6582
acc,14.747,8.936,2.9453,9.3901,2.1744,9.367,13.3261,1.5705,5.2349,19.945,10.261,2.1026
lev,6.9549,9.14,17.4978,9.7085,9.6219,9.1051,6.1539,7.6031,8.0391,5.397,6.6208,4.158
sgr,12.4338,6.9831,2.2414,8.4965,6.5707,13.3763,7.394,10.0261,11.511,11.0239,3.7065,6.2366
lgr,6.6348,2.8336,16.1903,11.7663,8.6546,1.8358,9.437,8.038,7.4664,13.9485,4.6614,8.5332
age,3.5018,2.498,17.6177,9.9596,5.5889,13.001,2.0898,2.2923,5.2848,15.3793,13.8162,8.9706
depr,6.5501,10.9481,10.4147,5.5394,0.6503,9.583,7.7178,14.0729,14.3738,1.2352,13.5453,5.3694
chinv,6.5326,6.3904,8.5726,17.1578,3.716,8.5252,14.872,15.8572,6.1689,9.5164,1.8218,0.8691
