Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.6113,0.888611,,15.708284,-0.157143,0.249213,0.142637,1.558465,4.111051,1.9331
ENet+H,0.185841,0.427466,,19.923805,-0.698732,1.371055,0.053534,1.561169,1.440668,0.587681
PCR,0.227094,0.549132,,14.031621,0.163894,0.218176,0.097813,1.547756,1.311819,0.718133
PLS,0.006495,0.319687,,17.95314,-0.219571,0.326822,0.159694,1.550682,0.0386,0.020538
GLM+H,0.432783,0.744791,,14.946894,-0.022227,0.027856,0.110831,1.549132,2.57571,1.36858
GBRT+H,0.473049,0.754012,,9.339484,0.357751,-0.065033,0.184532,1.571875,3.170419,1.495911
NN1,1.106079,1.38413,,9.07112,-0.137802,0.098544,0.176222,1.562011,7.530088,3.497729
NN2,1.449081,1.723068,,5.836665,-0.511128,0.637256,0.151508,1.544659,9.803457,4.582397
NN3,0.669936,0.970783,,12.822333,0.709445,1.156443,0.277132,1.556008,4.167404,2.118523
NN4,1.17605,1.427098,,9.297238,0.034088,-0.544988,0.217499,1.543879,8.676708,3.718997
ENS-AVG,1.636474,1.89388,,8.621472,0.220274,-0.015286,0.329787,1.553612,11.812191,5.174985
ENS-MSE,1.323635,1.582077,,7.579081,0.324216,-0.138403,0.293002,1.561504,9.618675,4.185702
