,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.521207858883079,0.6108998309000275,0.4764831645757379,0.8997843852028167,0.3201131097608131,0.6293460061673455,0.44962564135609356,0.612962331861083,0.4346805358465027,0.557862397148605,0.8095045720732748
ENet+H,0.8851976032107398,,0.8177985525816982,0.5563853081091052,0.5440726033630858,0.7860295080190105,0.8083439067175915,0.7916738919668148,0.6065015449902313,0.7286562485756534,0.46778325247933894,0.5898886282236423
PCR,0.5942347910111252,0.5617824995919201,,0.6762015351874876,0.7625880715178115,0.443553391140753,0.7807579764070502,0.9268345492597811,0.7443160550910721,0.8445052026651687,0.6830723934100049,0.8507312651568248
PLS,0.4284106857379839,0.884088124637167,0.6179589483120698,,0.5298812300358385,0.4685520874861173,0.4091447073088978,0.923618757858349,0.4724560664547828,0.8746969201686454,0.6538582959173397,0.9165178778054013
GLM+H,0.41785859077158855,0.5787947210853465,0.8194516545714849,0.3389663645116249,,0.31134962284302214,0.43230945536648663,0.9054309121749553,0.5515236077072903,0.341298779346952,0.9126705797724362,0.735947324404252
GBRT+H,0.8138104337299921,0.7570189759430441,0.9220160706665288,0.7606391767119418,0.3216125631699911,,0.7217688018063096,0.49604247112237165,0.6032827173721067,0.9318230519892268,0.9165790533488956,0.5795863347841048
NN1,0.721038612483774,0.32334835302919035,0.38226831168927966,0.9435034322797535,0.4692672518124538,0.4215058040913374,,0.4231155350264177,0.4548487311900082,0.3247503356505924,0.5253356915167375,0.5552211805977146
NN2,0.818220866099673,0.6617749900611265,0.7646439912496709,0.4115237197287485,0.8444497402044004,0.3741128093065266,0.6522153324326471,,0.5608780023692261,0.6547547710886001,0.523384819285835,0.925362515563956
NN3,0.40098637772710805,0.633361528977025,0.716132934345337,0.3776710470500768,0.6078865742541895,0.3709629370045369,0.8687892394602719,0.9084974286524587,,0.4257505747999099,0.7210234970629033,0.47282362673914036
NN4,0.5815136947183256,0.8244486666081094,0.8394889582688403,0.7929140124875389,0.8397244332414122,0.45655528702280446,0.8894211288637177,0.3481692907701988,0.4329167591935399,,0.5758013329209901,0.6170690778784964
ENS-AVG,0.34947433219936563,0.5322445309484345,0.6073545698324296,0.9407127210439052,0.8343585169879388,0.5780761208271461,0.409997999812419,0.3835440184759325,0.7024490454115411,0.6229690606153616,,0.43073955685854104
ENS-MSE,0.5738925047851704,0.8924999097724591,0.8743471403676775,0.6587259139039705,0.5940432484111107,0.6722175053446757,0.3252546048014415,0.493511950646866,0.8981296757730544,0.7821447817218803,0.6006271332243398,
