,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.13984936842911028,-0.09256946966691314,0.13877458810556703,0.3273647135120028,0.6398532502103711,0.18303960064813152,0.16489691647674337,0.24962130995554774,-0.2965982919882411,-0.1522627517945483,0.29430290547209165
ENet+H,-0.13984936842911028,,0.4897103189937361,0.4008771263194688,0.11262216934994285,-0.1677101677281668,0.07767550823916676,-0.19414055601395966,-0.5692968626812906,-0.3627404314978695,-0.09088365371510963,0.2373702891488372
PCR,0.09256946966691314,-0.4897103189937361,,0.009088045215653595,-0.27016846752541307,0.012803161843464542,-0.27203825961699185,-0.36801389569156184,-0.33800343999129223,-0.10744227766097084,-0.22515670067647958,-0.3545464295594948
PLS,-0.13877458810556703,-0.4008771263194688,-0.009088045215653595,,0.47285938728881716,0.23335332900095457,0.1587564979888801,-0.4173741929189183,-0.5142092721503589,-0.7134037925239461,-0.2756764458605747,-0.039848367812786584
GLM+H,-0.3273647135120028,-0.11262216934994285,0.27016846752541307,-0.47285938728881716,,0.10466382195479007,-0.13398587344951843,0.6654701913381806,-0.4649734708930486,-0.1302087618500209,0.13938044828781124,0.3842854601773581
GBRT+H,-0.6398532502103711,0.1677101677281668,-0.012803161843464542,-0.23335332900095457,-0.10466382195479007,,-0.3216189380973101,0.13678158349945885,-0.7007946360648827,-0.06921949012969472,-0.31826475103252444,-0.3858287421904847
NN1,-0.18303960064813152,-0.07767550823916676,0.27203825961699185,-0.1587564979888801,0.13398587344951843,0.3216189380973101,,0.11158742694952098,-0.22648031106270972,-0.03157274837689232,-0.10776173484232078,0.07464215455017797
NN2,-0.16489691647674337,0.19414055601395966,0.36801389569156184,0.4173741929189183,-0.6654701913381806,-0.13678158349945885,-0.11158742694952098,,0.8641924897330524,0.018824995676767292,-0.1437546144795088,0.1637411211956009
NN3,-0.24962130995554774,0.5692968626812906,0.33800343999129223,0.5142092721503589,0.4649734708930486,0.7007946360648827,0.22648031106270972,-0.8641924897330524,,-0.4498494269737224,0.19323095658755038,-0.1718039798188506
NN4,0.2965982919882411,0.3627404314978695,0.10744227766097084,0.7134037925239461,0.1302087618500209,0.06921949012969472,0.03157274837689232,-0.018824995676767292,0.4498494269737224,,0.2559065376298437,-0.8748533917676393
ENS-AVG,0.1522627517945483,0.09088365371510963,0.22515670067647958,0.2756764458605747,-0.13938044828781124,0.31826475103252444,0.10776173484232078,0.1437546144795088,-0.19323095658755038,-0.2559065376298437,,-0.7609942512204665
ENS-MSE,-0.29430290547209165,-0.2373702891488372,0.3545464295594948,0.039848367812786584,-0.3842854601773581,0.3858287421904847,-0.07464215455017797,-0.1637411211956009,0.1718039798188506,0.8748533917676393,0.7609942512204665,
