regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,-0.050478,-0.047363,-0.024632,120
nber,recession,OLS-3,-0.088671,-0.085884,-0.047707,20
nber,expansion,OLS-3,-0.041679,-0.038506,-0.020017,100
vix,low_vix,OLS-3,-0.303119,-0.300159,-0.155061,40
vix,mid_vix,OLS-3,0.164479,0.167549,0.080885,40
vix,high_vix,OLS-3,0.000595,0.003868,0.000279,40
decade,2020s,OLS-3,0.157963,0.161573,0.066306,45
decade,2030s,OLS-3,-0.15034,-0.147451,-0.079195,75
full,all,ENet+H,-0.050094,-0.047363,-0.028359,120
nber,recession,ENet+H,-0.088346,-0.085884,-0.055143,20
nber,expansion,ENet+H,-0.041283,-0.038506,-0.023002,100
vix,low_vix,ENet+H,-0.302822,-0.300159,-0.179713,40
vix,mid_vix,ENet+H,0.164873,0.167549,0.094062,40
vix,high_vix,ENet+H,0.001056,0.003868,0.000576,40
decade,2020s,ENet+H,0.158382,0.161573,0.077129,45
decade,2030s,ENet+H,-0.149974,-0.147451,-0.091651,75
full,all,PCR,-0.04974,-0.047363,-0.032353,120
nber,recession,PCR,-0.087987,-0.085884,-0.063098,20
nber,expansion,PCR,-0.040932,-0.038506,-0.026203,100
vix,low_vix,PCR,-0.30244,-0.300159,-0.206227,40
vix,mid_vix,PCR,0.165191,0.167549,0.10828,40
vix,high_vix,PCR,0.001419,0.003868,0.000889,40
decade,2020s,PCR,0.158801,0.161573,0.08885,45
decade,2030s,PCR,-0.149646,-0.147451,-0.105074,75
full,all,PLS,-0.050225,-0.047363,-0.027307,120
nber,recession,PLS,-0.08846,-0.085884,-0.053026,20
nber,expansion,PLS,-0.041418,-0.038506,-0.022163,100
vix,low_vix,PLS,-0.302894,-0.300159,-0.172641,40
vix,mid_vix,PLS,0.164773,0.167549,0.090282,40
vix,high_vix,PLS,0.000837,0.003868,0.000438,40
decade,2020s,PLS,0.158178,0.161573,0.073978,45
decade,2030s,PLS,-0.150069,-0.147451,-0.088078,75
full,all,GLM+H,-0.049941,-0.047363,-0.030676,120
nber,recession,GLM+H,-0.088245,-0.085884,-0.059762,20
nber,expansion,GLM+H,-0.04112,-0.038506,-0.024858,100
vix,low_vix,GLM+H,-0.302641,-0.300159,-0.194874,40
vix,mid_vix,GLM+H,0.164978,0.167549,0.102123,40
vix,high_vix,GLM+H,0.001224,0.003868,0.000724,40
decade,2020s,GLM+H,0.158568,0.161573,0.083782,45
decade,2030s,GLM+H,-0.149834,-0.147451,-0.09935,75
full,all,GBRT+H,-0.050144,-0.047363,-0.028441,120
nber,recession,GBRT+H,-0.088377,-0.085884,-0.055265,20
nber,expansion,GBRT+H,-0.041338,-0.038506,-0.023076,100
vix,low_vix,GBRT+H,-0.302849,-0.300159,-0.180071,40
vix,mid_vix,GBRT+H,0.164802,0.167549,0.094198,40
vix,high_vix,GBRT+H,0.001009,0.003868,0.000551,40
decade,2020s,GBRT+H,0.158363,0.161573,0.077264,45
decade,2030s,GBRT+H,-0.150038,-0.147451,-0.091864,75
full,all,NN1,-0.050041,-0.047363,-0.028713,120
nber,recession,NN1,-0.088373,-0.085884,-0.055908,20
nber,expansion,NN1,-0.041212,-0.038506,-0.023274,100
vix,low_vix,NN1,-0.302709,-0.300159,-0.182086,40
vix,mid_vix,NN1,0.164855,0.167549,0.095327,40
vix,high_vix,NN1,0.00112,0.003868,0.000619,40
decade,2020s,NN1,0.158464,0.161573,0.078216,45
decade,2030s,NN1,-0.149933,-0.147451,-0.092871,75
full,all,NN2,-0.050216,-0.047363,-0.027233,120
nber,recession,NN2,-0.088476,-0.085884,-0.052903,20
nber,expansion,NN2,-0.041402,-0.038506,-0.022099,100
vix,low_vix,NN2,-0.302859,-0.300159,-0.172182,40
vix,mid_vix,NN2,0.164764,0.167549,0.090048,40
vix,high_vix,NN2,0.000835,0.003868,0.000436,40
decade,2020s,NN2,0.158291,0.161573,0.073845,45
decade,2030s,NN2,-0.150111,-0.147451,-0.087879,75
full,all,NN3,-0.049873,-0.047363,-0.031136,120
nber,recession,NN3,-0.088174,-0.085884,-0.060691,20
nber,expansion,NN3,-0.041053,-0.038506,-0.025224,100
vix,low_vix,NN3,-0.302515,-0.300159,-0.197982,40
vix,mid_vix,NN3,0.165075,0.167549,0.103856,40
vix,high_vix,NN3,0.001199,0.003868,0.00072,40
decade,2020s,NN3,0.158603,0.161573,0.085172,45
decade,2030s,NN3,-0.14975,-0.147451,-0.10092,75
full,all,NN4,-0.050033,-0.047363,-0.028679,120
nber,recession,NN4,-0.088312,-0.085884,-0.055811,20
nber,expansion,NN4,-0.041216,-0.038506,-0.023252,100
vix,low_vix,NN4,-0.302711,-0.300159,-0.1819,40
vix,mid_vix,NN4,0.164936,0.167549,0.095274,40
vix,high_vix,NN4,0.00107,0.003868,0.00059,40
decade,2020s,NN4,0.15843,0.161573,0.078117,45
decade,2030s,NN4,-0.149905,-0.147451,-0.092756,75
full,all,ENS-AVG,-0.050199,-0.047363,-0.027158,120
nber,recession,ENS-AVG,-0.088419,-0.085884,-0.052741,20
nber,expansion,ENS-AVG,-0.041395,-0.038506,-0.022041,100
vix,low_vix,ENS-AVG,-0.302865,-0.300159,-0.171769,40
