,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,6.7246,7.0778,7.5794,2.0452,16.0129,10.0363,4.4835,4.0775,6.1068,12.5044,20.5782,2.7732
mom6m,6.995,6.0275,2.9009,7.3746,13.087,8.7233,12.6832,1.8841,6.7826,16.7708,5.0097,11.7612
mom12m,1.119,4.6591,6.2842,3.3243,15.758,9.5047,7.3003,3.6568,12.6708,3.3015,19.5639,12.8575
mom36m,3.958,2.4928,10.1328,5.2111,11.3539,2.2053,9.733,4.9058,4.9282,3.4088,35.3272,6.343
chmom,0.8032,10.7659,5.7518,24.2349,8.7582,2.5708,5.9976,9.4746,10.2585,10.3242,4.84,6.2202
indmom,7.619,13.3701,3.7231,8.5767,1.9022,3.5103,14.6613,12.1883,20.6625,1.4927,1.8411,10.4527
mvel1,9.1487,0.7119,9.2707,14.3309,7.9839,3.2907,8.4712,11.8619,16.4276,6.9093,4.6693,6.9238
dolvol,1.3845,1.918,18.8587,4.389,2.9812,11.2253,13.5015,0.7379,10.7786,10.3468,15.2931,8.5853
turn,12.4067,14.0678,8.1096,11.5361,5.4565,12.716,7.215,4.8988,5.8692,6.731,6.7034,4.2898
ill,9.5856,7.1135,3.9485,7.4747,7.0986,3.3982,2.8489,8.1519,13.8844,8.1328,14.9816,13.3813
baspread,19.2871,12.9607,2.3141,16.6274,6.2442,3.9663,7.217,7.1049,2.9629,5.2672,10.1787,5.8695
beta,5.1747,9.235,6.1769,17.5648,3.3248,3.5101,3.4511,3.967,9.3835,5.6986,16.3489,16.1646
betasq,8.5224,19.8646,8.8133,14.4508,4.5148,6.9384,4.1393,4.2389,3.3714,13.0627,7.9173,4.1661
idiovol,29.7569,13.9591,13.279,4.4559,5.8729,3.6407,2.7783,4.1238,2.0873,9.4596,8.5082,2.0782
retvol,2.0608,16.5528,8.7497,8.867,7.9737,12.6373,9.6925,10.2959,10.8331,4.5698,4.1959,3.5714
bm,1.6019,13.5808,11.9445,2.093,23.4223,13.0698,0.7983,1.8973,12.3392,1.7858,12.5959,4.8713
ep,7.3321,23.0262,0.547,7.0444,14.9787,8.4371,9.2742,2.2787,7.595,15.745,0.4678,3.2738
sp,11.2944,6.8295,4.4091,3.0666,1.7764,16.0656,10.4267,18.9263,9.6637,6.9105,6.997,3.6342
cfp,10.6663,3.6768,16.5374,5.2798,2.0486,0.7139,12.9109,6.2509,16.5082,7.7092,10.2051,7.4926
dy,10.5518,12.9318,13.5928,9.1505,1.6882,18.2765,0.376,6.2159,5.1132,1.0432,17.2143,3.8457
agr,6.4682,4.8952,32.2294,2.8576,3.4037,5.0789,2.393,5.667,9.2525,11.5299,9.2444,6.9803
invest,21.9923,3.566,2.737,10.9087,7.9742,6.9588,15.9259,11.9786,3.3274,1.7917,9.5841,3.2554
operprof,2.5556,6.8454,2.6559,1.6266,18.2359,2.5811,23.8754,6.0967,9.0879,15.1927,6.5859,4.6609
gma,7.6528,5.7457,2.3434,12.1084,4.9584,2.4879,8.722,8.8519,27.3301,10.6203,6.1369,3.0422
roeq,14.4406,4.2916,5.4714,2.389,13.3116,15.2843,5.1112,1.609,2.635,14.3795,13.2261,7.8507
roaq,2.1503,10.7918,9.6819,15.391,3.7457,5.326,4.2207,5.0171,12.9603,14.9604,11.0944,4.6605
acc,2.592,10.2657,15.6094,7.261,7.1256,7.0977,2.118,14.5828,15.7325,2.7278,11.8471,3.0405
lev,14.1333,5.4291,3.8495,17.9135,5.9535,1.921,7.5098,7.4377,7.7729,8.7637,17.0106,2.3054
sgr,7.4023,8.0199,8.1469,13.5876,19.4478,0.9112,5.5517,7.4617,7.3375,4.8339,7.5136,9.7858
lgr,13.8608,15.2292,3.6224,1.9343,10.3317,7.2456,2.0822,17.1036,14.9108,3.8586,3.9332,5.8875
age,11.2229,10.3456,17.3306,1.2595,7.2292,8.5396,16.5154,6.1675,11.1434,2.6203,2.9023,4.7238
depr,0.6922,15.5737,3.9296,6.4004,7.8954,2.47,7.5491,6.722,14.3083,10.3346,18.2247,5.8999
chinv,4.321,11.2446,4.1558,14.3524,5.3795,1.3371,11.7715,3.8113,5.709,25.5636,6.5048,5.8493
