Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.721562,0.726259,,251.967286,0.372933,0.875871,0.006336,1.547384,285.553307,2.28178
ENet+H,0.719495,0.726259,,108.908026,0.373022,0.875983,0.003208,1.551101,198.193186,2.275244
PCR,0.720571,0.726259,,336.627402,0.372985,0.87597,0.013229,1.549461,235.394429,2.278645
PLS,0.721101,0.726259,,275.941379,0.372938,0.87606,0.007381,1.556177,261.686593,2.280323
GLM+H,0.719364,0.726259,,106.784211,0.373013,0.876227,0.005826,1.548814,194.295862,2.274829
GBRT+H,0.719985,0.726259,,304.537251,0.373155,0.876041,0.015089,1.568594,216.175116,2.276793
NN1,0.720702,0.726259,,306.023122,0.373043,0.876315,0.012842,1.525691,237.897086,2.279061
NN2,0.720035,0.726259,,261.413942,0.373127,0.875995,0.014055,1.543676,213.722064,2.27695
NN3,0.718847,0.726259,,100.755576,0.373038,0.875974,0.009849,1.528452,177.990536,2.273194
NN4,0.720549,0.726259,,335.709475,0.372948,0.875669,0.011593,1.555342,235.564032,2.278575
ENS-AVG,0.720474,0.726259,,340.166519,0.372969,0.875824,0.014212,1.55242,231.654582,2.278339
ENS-MSE,0.720435,0.726259,,338.224875,0.373047,0.875736,0.016856,1.55492,230.459053,2.278216
