,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.9114914437183137,0.92413986150838,0.8662302307702319,0.5362654505537919,0.7425575421789735,0.31017977883754083,0.3317747084638199,0.3230395237336232,0.621619909817265,0.46707169391596326,0.3760166102857057
ENet+H,0.6393040033309603,,0.6848809026598159,0.661640034341052,0.45662336024125194,0.49966971882858413,0.6802028297755851,0.8329243028594959,0.3613076600987918,0.3719777586754245,0.5430724989817005,0.5501831782269815
PCR,0.8381854271001172,0.6340028895415719,,0.5503918294154889,0.6622018109505377,0.8579362793225451,0.6021291182655183,0.6064510868983175,0.3019388766942078,0.6152214279411334,0.3065513304852918,0.5207011623455527
PLS,0.4725821679757582,0.4783441448260672,0.30862061979221195,,0.39668887917263534,0.7345951381209358,0.8520027745208647,0.5145756808729274,0.5048373126923615,0.475155980248351,0.823352541850429,0.9074448120508058
GLM+H,0.8495243833144912,0.5528714261325692,0.43579522965306217,0.36170453138308695,,0.9045741235323728,0.5637414200945305,0.7813208218757335,0.8789431810468253,0.42949463231787555,0.6053735439927113,0.5230108199825858
GBRT+H,0.7077819778387355,0.8787150758748186,0.8274284168336088,0.4778260080309342,0.5804056951441211,,0.5964734460000594,0.6113495468853511,0.3325800043655762,0.3210300677332582,0.8279037113527223,0.5176178775368964
NN1,0.699235044230071,0.4850539361908056,0.4905179954229685,0.5604539613274587,0.6492800844684602,0.4803078558926276,,0.8587763068640835,0.9113552375039338,0.845656549711093,0.567701983239884,0.7048712826692749
NN2,0.5483114817674403,0.6172687675661381,0.7916032250678389,0.8478219194181646,0.3109462557628779,0.33307116390144775,0.8177915251860064,,0.6504817220337027,0.8720885430619467,0.4947664067683204,0.5323525655633774
NN3,0.8359009814885188,0.9187905843663213,0.5814617001420671,0.9423127414219663,0.9499326649437041,0.37989238037350764,0.9035739209103197,0.6952459626514158,,0.32751780747041453,0.5146214001442325,0.860814065628118
NN4,0.3921766698101887,0.7730014543470733,0.3878318166122239,0.6837469153109554,0.9381081591021063,0.4781130052787701,0.9197612540610891,0.9423052120476418,0.8161073686630635,,0.39758708260740694,0.3592759077604146
ENS-AVG,0.7651963518595795,0.625268244289481,0.3760548629362235,0.8804969821470396,0.5784852140513694,0.5158688506440193,0.3599484002790738,0.7813540297809998,0.5584761789062175,0.5576394352041052,,0.7661629769230046
ENS-MSE,0.6905188245659943,0.3399711932590768,0.5734554237729019,0.42563722977425295,0.7336747618579863,0.9454646124447998,0.5443594850004055,0.7587603627776323,0.4990764333054615,0.4928695557630214,0.39729506106779977,
