,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.06286992511518985,-0.0852705470556333,0.2999021806245903,0.4262698570502072,0.19187153771158466,-0.19439557102070568,-0.5819298373891334,-0.20175627175254368,-0.18448690816860486,-0.5435493074989898,0.3300750614190145
ENet+H,-0.06286992511518985,,0.2192431519961797,0.031105513133940083,-0.3572996361430035,0.04136373928549131,0.03432183318201634,0.595881739990392,-0.4620148906672765,-0.053097762474295346,-0.511164294675568,0.5023425562650593
PCR,0.0852705470556333,-0.2192431519961797,,-0.006120065212163375,0.19244937927089695,-0.03075228732666377,-0.06801080956151845,0.5449486627279898,0.0880472390690247,0.02115745207853481,-0.17745827433819292,-0.29023483563462305
PLS,-0.2999021806245903,-0.031105513133940083,0.006120065212163375,,-0.022623003542938693,0.85418616264279,1.1221601385856594,-0.3305321587108162,0.024149244273614767,-0.09900554981994814,-0.2258925929798391,0.2512217384598664
GLM+H,-0.4262698570502072,0.3572996361430035,-0.19244937927089695,0.022623003542938693,,0.17914664017721232,-0.008170434746450496,0.4901191484357143,-0.06694330677045317,0.2737534475722989,-0.9841929499892927,-0.5272478655841238
GBRT+H,-0.19187153771158466,-0.04136373928549131,0.03075228732666377,-0.85418616264279,-0.17914664017721232,,-0.23894540384862473,0.23272563945511315,-0.05674766048009511,-0.06299708031571623,0.14917530240080892,-0.3711576853263491
NN1,0.19439557102070568,-0.03432183318201634,0.06801080956151845,-1.1221601385856594,0.008170434746450496,0.23894540384862473,,0.8364508086068442,0.14353920971800624,-0.3530874807608373,-0.04712852384371797,0.41089187874764066
NN2,0.5819298373891334,-0.595881739990392,-0.5449486627279898,0.3305321587108162,-0.4901191484357143,-0.23272563945511315,-0.8364508086068442,,-0.01776231204487727,-0.11698310688714031,-0.24571952831155847,-0.19965887232698623
NN3,0.20175627175254368,0.4620148906672765,-0.0880472390690247,-0.024149244273614767,0.06694330677045317,0.05674766048009511,-0.14353920971800624,0.01776231204487727,,0.40781615599415993,0.7133351476725259,0.04191326836302747
NN4,0.18448690816860486,0.053097762474295346,-0.02115745207853481,0.09900554981994814,-0.2737534475722989,0.06299708031571623,0.3530874807608373,0.11698310688714031,-0.40781615599415993,,-0.28011392445872674,0.09795672439971499
ENS-AVG,0.5435493074989898,0.511164294675568,0.17745827433819292,0.2258925929798391,0.9841929499892927,-0.14917530240080892,0.04712852384371797,0.24571952831155847,-0.7133351476725259,0.28011392445872674,,0.10186651765173127
ENS-MSE,-0.3300750614190145,-0.5023425562650593,0.29023483563462305,-0.2512217384598664,0.5272478655841238,0.3711576853263491,-0.41089187874764066,0.19965887232698623,-0.04191326836302747,-0.09795672439971499,-0.10186651765173127,
