regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,0.106382,0.447048,0.000493,120
nber,recession,OLS-3,-0.148634,0.162139,-0.000757,20
nber,expansion,OLS-3,0.162858,0.508914,0.000743,100
vix,low_vix,OLS-3,-0.311893,0.043042,-0.001405,40
vix,mid_vix,OLS-3,0.600931,0.948706,0.002696,40
vix,high_vix,OLS-3,0.038264,0.358267,0.000189,40
decade,2020s,OLS-3,-0.069618,0.235564,-0.000355,45
decade,2030s,OLS-3,0.229625,0.594498,0.001002,75
full,all,ENet+H,1.295648,1.603487,0.006503,120
nber,recession,ENet+H,2.853909,3.166891,0.01428,20
nber,expansion,ENet+H,1.004606,1.317309,0.004947,100
vix,low_vix,ENet+H,1.027236,1.303547,0.005765,40
vix,mid_vix,ENet+H,1.273261,1.579533,0.006472,40
vix,high_vix,ENet+H,1.649679,1.997132,0.007271,40
decade,2020s,ENet+H,0.627271,0.95848,0.002941,45
decade,2030s,ENet+H,1.681206,1.980415,0.00864,75
full,all,PCR,-0.144232,0.162131,-0.000726,120
nber,recession,PCR,-0.355219,-0.118115,-0.002377,20
nber,expansion,PCR,-0.084718,0.243646,-0.000395,100
vix,low_vix,PCR,0.333665,0.68971,0.001436,40
vix,mid_vix,PCR,-0.141106,0.119903,-0.000834,40
vix,high_vix,PCR,-0.579788,-0.25526,-0.002779,40
decade,2020s,PCR,0.379038,0.677442,0.001889,45
decade,2030s,PCR,-0.455332,-0.143207,-0.002294,75
full,all,PLS,0.405143,0.668504,0.00237,120
nber,recession,PLS,0.370501,0.585188,0.002716,20
nber,expansion,PLS,0.414466,0.690801,0.0023,100
vix,low_vix,PLS,0.245191,0.489249,0.001537,40
vix,mid_vix,PLS,0.470838,0.722546,0.002927,40
vix,high_vix,PLS,0.515322,0.812655,0.002645,40
decade,2020s,PLS,0.130646,0.423369,0.000676,45
decade,2030s,PLS,0.543213,0.792768,0.003386,75
full,all,GLM+H,0.250898,0.510248,0.001494,120
nber,recession,GLM+H,-0.534054,-0.240423,-0.002882,20
nber,expansion,GLM+H,0.391391,0.645534,0.002369,100
vix,low_vix,GLM+H,0.350601,0.631227,0.001887,40
vix,mid_vix,GLM+H,0.337901,0.609479,0.001929,40
vix,high_vix,GLM+H,0.097655,0.328064,0.000666,40
decade,2020s,GLM+H,0.212107,0.437431,0.001432,45
decade,2030s,GLM+H,0.279949,0.564766,0.001531,75
full,all,GBRT+H,0.633695,0.903592,0.003665,120
nber,recession,GBRT+H,1.594296,1.856486,0.00933,20
nber,expansion,GBRT+H,0.440842,0.713204,0.002532,100
vix,low_vix,GBRT+H,0.221278,0.532869,0.001076,40
vix,mid_vix,GBRT+H,0.911908,1.165373,0.005694,40
vix,high_vix,GBRT+H,0.681039,0.937082,0.004225,40
decade,2020s,GBRT+H,0.927354,1.167305,0.005937,45
decade,2030s,GBRT+H,0.427399,0.719847,0.002301,75
full,all,NN1,0.254741,0.543489,0.001366,120
nber,recession,NN1,1.143478,1.429491,0.006012,20
nber,expansion,NN1,0.081403,0.370881,0.000437,100
vix,low_vix,NN1,0.170936,0.488628,0.000838,40
vix,mid_vix,NN1,0.247177,0.54057,0.001306,40
vix,high_vix,NN1,0.326829,0.584077,0.001955,40
decade,2020s,NN1,-0.479817,-0.178082,-0.002489,45
decade,2030s,NN1,0.682721,0.967818,0.003679,75
full,all,NN2,0.926892,1.247032,0.004511,120
nber,recession,NN2,0.901329,1.200177,0.004705,20
nber,expansion,NN2,0.927684,1.250824,0.004472,100
vix,low_vix,NN2,0.782721,1.108599,0.003742,40
vix,mid_vix,NN2,0.970077,1.282487,0.004846,40
vix,high_vix,NN2,1.001409,1.316492,0.004944,40
decade,2020s,NN2,0.846494,1.155054,0.004309,45
decade,2030s,NN2,0.972706,1.29823,0.004632,75
full,all,NN3,0.757147,1.09528,0.003494,120
nber,recession,NN3,0.659202,1.012415,0.002969,20
nber,expansion,NN3,0.772616,1.106269,0.003599,100
vix,low_vix,NN3,0.209337,0.494908,0.001145,40
vix,mid_vix,NN3,0.921914,1.315598,0.003686,40
vix,high_vix,NN3,1.324665,1.686514,0.005652,40
decade,2020s,NN3,0.99259,1.349582,0.004323,45
decade,2030s,NN3,0.626045,0.952601,0.002997,75
full,all,NN4,1.507371,1.749983,0.009741,120
nber,recession,NN4,0.810626,1.095328,0.004559,20
nber,expansion,NN4,1.632491,1.8689,0.010777,100
vix,low_vix,NN4,1.433307,1.738137,0.007323,40
vix,mid_vix,NN4,1.946627,2.203723,0.01191,40
vix,high_vix,NN4,1.258815,1.456989,0.00999,40
decade,2020s,NN4,1.485438,1.713374,0.010337,45
decade,2030s,NN4,1.515564,1.766836,0.009383,75
full,all,ENS-AVG,1.636301,1.897393,0.0097,120
nber,recession,ENS-AVG,2.237834,2.468074,0.015074,20
nber,expansion,ENS-AVG,1.502617,1.772178,0.008625,100
vix,low_vix,ENS-AVG,2.189154,2.447553,0.012807,40
vix,mid_vix,ENS-AVG,0.90343,1.192984,0.004966,40
vix,high_vix,ENS-AVG,1.795011,2.036879,0.011327,40
decade,2020s,ENS-AVG,2.009176,2.252526,0.012705,45
decade,2030s,ENS-AVG,1.395946,1.670315,0.007897,75
full,all,ENS-MSE,1.501252,1.759007,0.009022,120
nber,recession,ENS-MSE,2.98076,3.30112,0.014888,20
nber,expansion,ENS-MSE,1.274455,1.524888,0.007849,100
vix,low_vix,ENS-MSE,1.524585,1.765916,0.009671,40
vix,mid_vix,ENS-MSE,1.517815,1.796864,0.008281,40
vix,high_vix,ENS-MSE,1.43905,1.690492,0.009115,40
decade,2020s,ENS-MSE,1.022903,1.250865,0.006799,45
decade,2030s,ENS-MSE,1.847793,2.12877,0.010356,75
