,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,4.776,17.1298,15.8288,10.5051,4.8571,8.1378,2.9376,0.5805,4.0002,9.4555,9.8604,11.9314
mom6m,4.1964,2.5967,5.4845,7.9003,3.6855,10.5996,6.4775,3.1308,12.4292,28.1803,0.1845,15.1346
mom12m,24.1358,4.7936,6.6903,7.9084,8.6227,7.4451,14.2107,2.9505,3.0497,9.8342,1.1868,9.1722
mom36m,21.2783,6.0124,8.1636,19.269,14.3521,9.4565,11.3961,0.8524,0.7829,1.1166,3.0257,4.2945
chmom,5.937,4.9397,2.855,6.5371,16.4846,9.2398,9.0422,16.5128,14.7342,7.6882,2.0514,3.978
indmom,6.3922,3.2914,7.9501,3.801,5.585,4.6925,10.8894,15.1438,19.4755,5.5088,7.6763,9.5942
mvel1,6.0046,10.1918,8.2592,13.0839,10.4381,3.154,9.4818,4.0591,9.3526,6.8602,9.0822,10.0324
dolvol,2.8115,10.8148,11.3699,7.693,11.4096,2.1027,12.8518,8.453,4.2699,9.1273,15.638,3.4585
turn,10.5297,1.5091,5.9976,14.2026,6.0708,4.4454,3.8792,11.9745,3.4985,12.223,2.5423,23.1273
ill,8.5287,4.1706,13.4595,3.0894,1.6635,20.5467,5.3408,4.6166,21.5346,2.3404,6.3761,8.3332
baspread,3.1381,8.4522,10.6703,14.111,8.5253,11.098,10.277,12.3879,3.069,2.1417,3.7912,12.3382
beta,5.0477,13.3999,2.6658,2.5498,4.4057,8.4835,5.8316,11.1276,26.4233,4.2991,6.9101,8.8559
betasq,16.1519,6.5186,7.9062,14.9952,3.6637,8.838,4.5656,20.8157,9.0683,2.1535,2.7403,2.5831
idiovol,6.5548,9.6681,7.7448,10.4523,11.0652,1.6326,20.8117,5.7256,7.1991,5.591,2.8673,10.6875
retvol,16.2181,5.9333,5.008,12.769,0.8811,4.5109,23.5456,7.56,6.5443,9.5351,5.5826,1.9122
bm,10.6276,8.4624,11.5816,7.6819,9.8852,13.4171,5.7536,2.4437,13.2312,2.5702,6.9529,7.3925
ep,4.3226,8.829,9.6506,7.5644,2.5841,2.9255,5.5492,2.0667,16.087,21.7052,6.3925,12.3233
sp,3.4031,5.1276,0.5399,18.1189,7.2097,12.8088,5.9666,6.0749,10.7559,11.8754,6.5227,11.5966
cfp,15.781,3.1084,11.1041,6.3493,2.7428,4.0076,7.618,15.2249,11.4525,4.4817,7.893,10.2367
dy,5.916,4.295,15.6852,7.0965,17.4008,8.3218,8.0482,7.486,9.1247,4.0184,8.0803,4.527
agr,10.0278,2.4559,13.5281,2.2912,5.181,17.5965,5.0147,5.7987,12.4444,4.3552,9.0665,12.2399
invest,12.1995,5.1754,10.8069,8.2326,15.6992,4.5448,12.5459,10.0263,0.5347,5.6298,4.9001,9.7049
operprof,10.8263,9.6805,2.3545,10.2282,1.9802,10.9458,0.9777,3.5063,12.6096,8.7521,17.1123,11.0265
gma,3.84,5.1711,5.7617,0.8757,19.5153,7.3712,7.0467,12.8172,8.5266,6.1363,9.1566,13.7817
roeq,6.3961,2.0396,4.9606,7.5957,7.7426,4.7643,16.662,8.4828,4.4196,21.0349,8.1631,7.7387
roaq,7.7983,11.6819,5.4564,6.888,3.9583,9.6131,28.1261,1.5341,11.1407,5.6203,2.5851,5.5977
acc,14.4947,0.9405,5.8694,7.6598,8.9904,7.7954,14.8511,5.3476,4.5285,6.9613,7.4646,15.0968
lev,19.555,12.7452,18.7254,1.9679,6.1772,1.8822,3.0401,4.6721,1.597,3.2634,4.2314,22.1432
sgr,4.9715,10.5208,9.184,4.1585,17.7976,7.8209,7.2423,2.1925,2.5436,20.2407,2.984,10.3434
lgr,8.0755,10.1464,8.5081,5.9057,13.0547,19.4622,2.9371,5.6602,3.4981,7.6881,10.5051,4.5588
age,10.1338,2.6933,11.5799,3.1198,11.0037,20.958,9.2493,1.5314,7.1655,4.7851,7.3802,10.4
depr,2.9948,6.2559,12.9836,1.7605,11.3882,6.2538,9.5768,14.2917,13.4534,5.607,7.3883,8.0461
chinv,13.6776,5.1822,19.9073,5.5255,2.8021,16.7994,7.8046,5.6281,1.0577,1.3521,14.9938,5.2697
