Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.444495,0.447056,,451776.779728,-0.067423,0.074584,0.016736,1.5344,319.461399,1.405617
ENet+H,0.444685,0.447056,,137246.080907,-0.06739,0.074484,0.009628,1.54654,348.393137,1.406219
PCR,0.444326,0.447056,,355980.810095,-0.067437,0.074441,0.019545,1.566375,306.030146,1.405081
PLS,0.444579,0.447056,,542065.256226,-0.067414,0.074496,0.023542,1.535181,330.150355,1.405884
GLM+H,0.444337,0.447056,,362692.677131,-0.067429,0.074521,0.00919,1.566253,307.031053,1.405117
GBRT+H,0.444506,0.447056,,491513.679636,-0.067485,0.074509,0.038327,1.550538,324.318007,1.405651
NN1,0.444012,0.447056,,9961.987831,-0.06742,0.074463,0.030002,1.533476,268.032286,1.404088
NN2,0.444571,0.447056,,605047.457226,-0.067423,0.074398,0.033568,1.56645,336.750543,1.405858
NN3,0.444577,0.447056,,572940.762921,-0.067415,0.074511,0.040078,1.548329,333.457228,1.405877
NN4,0.444483,0.447056,,470214.4774,-0.067431,0.074491,0.036472,1.551228,321.735394,1.405577
ENS-AVG,0.444164,0.447056,,4027.663586,-0.06743,0.074454,0.036812,1.55567,286.501049,1.404569
ENS-MSE,0.444646,0.447056,,661453.016633,-0.067451,0.074448,0.045572,1.543843,342.258904,1.406095
