,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
OLS-3,,0.643305269578784,0.6400736634040546,0.3240392947223845,0.5167838577239262,0.41928086924252267,0.5114409587140654,0.43372580984465847,0.5074118525321627,0.5159946860234681,0.8237714403441179,0.7042997295400069
ENet+H,0.39112621184912527,,0.5034422397189323,0.6057542189510607,0.9345631788096886,0.6314300534385697,0.40836569103239095,0.9171809253798053,0.8574274394339205,0.3983228776016076,0.4343213558602441,0.8313485810974719
PCR,0.8987399842664547,0.85852676792272,,0.724762148402541,0.7820234227295491,0.8273280278797535,0.6878483101565136,0.8455823927848165,0.32508414711337247,0.5166938384935879,0.5497066404754346,0.5482623687739827
PLS,0.3979907155105041,0.8751055304659832,0.3484490249000672,,0.7433332603608249,0.7666391304229008,0.718921276085863,0.7768270372713728,0.5133441312270912,0.8098779980527115,0.7286162190180747,0.7361390457634553
GLM+H,0.9169144826023146,0.3786546402826467,0.4976896176811537,0.8991499753006604,,0.5098945260268483,0.5479301055761941,0.9131065050751095,0.7540090355893476,0.3084920015688195,0.7287667481514225,0.8326571918751868
GBRT+H,0.3849907646879574,0.9009012199558297,0.46644989662488223,0.3428638603630941,0.45500346531916064,,0.4823640029693691,0.6943319988597731,0.9329949034696992,0.9193146396566725,0.47515895435884925,0.45052247147267915
NN1,0.4037212642132975,0.39585708274179976,0.8347275539203869,0.7316221193379011,0.5166356644366203,0.5462099766916909,,0.744370305176565,0.4024746272432427,0.6916715276814708,0.8461534364810448,0.8582268163072704
NN2,0.4246372393546522,0.926901642519357,0.5282654272491033,0.9218812074811189,0.8449279793319842,0.662369916337018,0.5441717790616073,,0.9229068309500073,0.6530698406851779,0.35637087975576326,0.44154195248721295
NN3,0.5107387567781955,0.7774876262737149,0.9369778507507123,0.8774875509278832,0.548514537742966,0.8987805700932752,0.7335816026378323,0.3808336124218531,,0.45791512027982095,0.6735689338945243,0.48782982679396136
NN4,0.7469290615256396,0.35377658251896044,0.7726803617208824,0.762008633950642,0.3124943197270673,0.6414202849111111,0.7000066019293882,0.5922077138237776,0.6661282522341132,,0.9398396533612894,0.38916527829965564
ENS-AVG,0.4819758273173016,0.9444576850106585,0.556885457505861,0.6717502157660493,0.7373143507775224,0.36003217924881126,0.6981089903919173,0.8634817506422401,0.531196076624674,0.8669813552224286,,0.7197003873541388
ENS-MSE,0.6773651613363951,0.3703837995441136,0.8576948751912308,0.4162204071393894,0.608115518333822,0.5137291340473265,0.5274814601766247,0.3153470512840565,0.4317260768124428,0.8328036118134399,0.5633855795540157,
