regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,1.116444,1.469147,0.004955,120
nber,recession,OLS-3,-0.175265,0.302357,-0.000574,20
nber,expansion,OLS-3,1.322491,1.663949,0.006061,100
vix,low_vix,OLS-3,1.354007,1.697868,0.006235,40
vix,mid_vix,OLS-3,0.643048,0.967438,0.003119,40
vix,high_vix,OLS-3,1.426788,1.826635,0.005511,40
decade,2020s,OLS-3,0.471676,0.864047,0.001875,45
decade,2030s,OLS-3,1.466849,1.804967,0.006803,75
full,all,ENet+H,0.761402,1.113746,0.003323,120
nber,recession,ENet+H,1.580079,2.114059,0.00451,20
nber,expansion,ENet+H,0.668554,1.002438,0.003086,100
vix,low_vix,ENet+H,0.359759,0.736802,0.00146,40
vix,mid_vix,ENet+H,2.437475,2.890585,0.008401,40
vix,high_vix,ENet+H,0.021354,0.317505,0.00011,40
decade,2020s,ENet+H,1.170252,1.551022,0.004766,45
decade,2030s,ENet+H,0.541435,0.878374,0.002458,75
full,all,PCR,1.155623,1.539363,0.004677,120
nber,recession,PCR,2.739041,3.171174,0.009692,20
nber,expansion,PCR,0.89697,1.2769,0.003674,100
vix,low_vix,PCR,1.199772,1.52809,0.005735,40
vix,mid_vix,PCR,1.493324,1.918934,0.005362,40
vix,high_vix,PCR,0.788593,1.207403,0.002934,40
decade,2020s,PCR,0.75535,1.141099,0.003052,45
decade,2030s,PCR,1.39482,1.777534,0.005652,75
full,all,PLS,1.1841,1.581775,0.004594,120
nber,recession,PLS,2.020522,2.584239,0.005768,20
nber,expansion,PLS,1.073125,1.452162,0.00436,100
vix,low_vix,PLS,0.299202,0.674463,0.001264,40
vix,mid_vix,PLS,1.687411,2.069313,0.006783,40
vix,high_vix,PLS,1.774002,2.240287,0.005736,40
decade,2020s,PLS,1.036829,1.49018,0.003647,45
decade,2030s,PLS,1.260328,1.629648,0.005163,75
full,all,GLM+H,1.5191,1.855467,0.007089,120
nber,recession,GLM+H,1.668712,2.057309,0.006405,20
nber,expansion,GLM+H,1.495684,1.823652,0.007225,100
vix,low_vix,GLM+H,1.516013,1.832212,0.007497,40
vix,mid_vix,GLM+H,1.727964,2.04663,0.008594,40
vix,high_vix,GLM+H,1.265224,1.646818,0.005175,40
decade,2020s,GLM+H,1.792595,2.186437,0.007157,45
decade,2030s,GLM+H,1.394606,1.705275,0.007047,75
full,all,GBRT+H,1.724949,2.034603,0.008676,120
nber,recession,GBRT+H,1.208674,1.464578,0.007406,20
nber,expansion,GBRT+H,1.855152,2.178134,0.00893,100
vix,low_vix,GBRT+H,1.362008,1.65729,0.007279,40
vix,mid_vix,GBRT+H,1.849452,2.138627,0.009855,40
vix,high_vix,GBRT+H,1.991345,2.337493,0.008895,40
decade,2020s,GBRT+H,1.991322,2.297285,0.010059,45
decade,2030s,GBRT+H,1.558226,1.868786,0.007846,75
full,all,NN1,1.331428,1.693924,0.005763,120
nber,recession,NN1,2.724293,3.084531,0.011482,20
nber,expansion,NN1,1.075355,1.441961,0.004619,100
vix,low_vix,NN1,0.915698,1.294951,0.0039,40
vix,mid_vix,NN1,1.807378,2.142356,0.008312,40
vix,high_vix,NN1,1.231864,1.606592,0.005076,40
decade,2020s,NN1,0.730007,1.173514,0.002609,45
decade,2030s,NN1,1.642347,1.976615,0.007655,75
full,all,NN2,1.453983,1.773537,0.007128,120
nber,recession,NN2,1.705235,2.010157,0.009034,20
nber,expansion,NN2,1.393871,1.71565,0.006747,100
vix,low_vix,NN2,1.36031,1.71627,0.006106,40
vix,mid_vix,NN2,1.475111,1.772116,0.00771,40
vix,high_vix,NN2,1.491941,1.797759,0.007568,40
decade,2020s,NN2,1.301059,1.657581,0.00578,45
decade,2030s,NN2,1.534094,1.834855,0.007936,75
full,all,NN3,2.266483,2.605833,0.010337,120
nber,recession,NN3,2.0369,2.411627,0.00822,20
nber,expansion,NN3,2.305308,2.638456,0.010761,100
vix,low_vix,NN3,1.981162,2.308382,0.009335,40
vix,mid_vix,NN3,2.724146,3.057572,0.01251,40
vix,high_vix,NN3,2.07184,2.426373,0.009167,40
decade,2020s,NN3,2.159397,2.544989,0.00883,45
decade,2030s,NN3,2.32761,2.644587,0.011241,75
full,all,NN4,2.040861,2.422885,0.008288,120
nber,recession,NN4,1.378259,1.707402,0.006418,20
nber,expansion,NN4,2.193671,2.587403,0.008662,100
vix,low_vix,NN4,2.939767,3.311628,0.012172,40
vix,mid_vix,NN4,1.705214,2.079382,0.007236,40
vix,high_vix,NN4,1.507324,1.929324,0.005456,40
decade,2020s,NN4,1.907835,2.263827,0.008297,45
decade,2030s,NN4,2.119196,2.516808,0.008283,75
full,all,ENS-AVG,2.165506,2.509009,0.009774,120
nber,recession,ENS-AVG,2.106108,2.453515,0.009427,20
nber,expansion,ENS-AVG,2.166677,2.507663,0.009843,100
vix,low_vix,ENS-AVG,2.078191,2.378643,0.010808,40
vix,mid_vix,ENS-AVG,2.530222,2.962505,0.009309,40
vix,high_vix,ENS-AVG,1.988036,2.31459,0.009204,40
decade,2020s,ENS-AVG,2.734436,3.103822,0.011308,45
decade,2030s,ENS-AVG,1.870626,2.199997,0.008853,75
full,all,ENS-MSE,1.944122,2.244476,0.010101,120
nber,recession,ENS-MSE,1.796656,2.06122,0.01057,20
nber,expansion,ENS-MSE,1.970115,2.27762,0.010007,100
vix,low_vix,ENS-MSE,1.635713,1.928066,0.008729,40
vix,mid_vix,ENS-MSE,2.790206,3.132227,0.012587,40
vix,high_vix,ENS-MSE,1.57053,1.846073,0.008988,40
decade,2020s,ENS-MSE,2.339297,2.71823,0.009491,45
decade,2030s,ENS-MSE,1.805914,2.076359,0.010467,75
