,OLS-3,ENet+H,PCR,PLS,GLM+H,GBRT+H,NN1,NN2,NN3,NN4,ENS-AVG,ENS-MSE
mom1m,8.9955,8.0673,3.8711,12.9188,8.4235,9.4702,8.1646,5.0923,11.8924,16.0216,1.8062,5.2764
mom6m,6.6383,0.4175,3.7588,13.5168,5.0267,11.5734,5.8922,16.8235,4.0123,5.9666,22.0669,4.3069
mom12m,5.5339,9.0946,33.1332,12.6617,3.3144,3.7223,7.159,4.5006,6.0642,6.4937,6.071,2.2512
mom36m,6.4615,4.5147,20.2939,5.6551,10.2248,0.2598,12.4282,7.6378,7.9312,18.877,4.3051,1.4109
chmom,9.1115,10.8288,3.672,15.3938,9.7004,1.9517,13.396,21.299,5.3949,0.6181,4.7943,3.8396
indmom,9.469,3.324,8.5158,6.1178,8.6434,12.2082,2.7267,13.5238,3.8797,2.9491,3.3951,25.2474
mvel1,22.9754,11.434,8.67,3.5833,3.119,6.7344,11.9879,5.247,8.5397,0.7925,4.2653,12.6515
dolvol,10.2117,6.0357,7.9661,7.8224,4.3323,2.9984,12.9592,4.7886,5.9562,7.6299,10.411,18.8884
turn,4.5548,3.1253,1.4761,12.9944,3.2001,11.2369,13.0501,5.8158,24.5846,10.1997,3.7793,5.9829
ill,7.9799,2.4103,28.0566,8.8696,6.2,19.6899,0.9978,3.1744,15.8276,1.8681,2.0661,2.8598
baspread,11.8769,5.1034,7.5402,8.7699,7.1341,30.2039,4.062,2.7315,7.0139,8.4309,2.854,4.2793
beta,2.6952,12.3169,8.8413,14.5031,3.6284,3.1526,1.2066,12.4736,7.0472,12.3973,7.4459,14.2917
betasq,8.1768,2.2311,1.1123,1.4199,7.0054,13.9771,19.705,5.117,6.853,17.1655,9.2033,8.0337
idiovol,8.2339,4.935,8.3722,2.8285,6.2126,6.9431,10.1692,14.213,19.6267,1.5919,14.359,2.515
retvol,8.5849,20.5924,3.9817,8.4992,4.7462,7.0378,11.3535,3.1837,9.4547,11.0681,7.6137,3.8841
bm,3.649,16.0787,7.8538,2.5023,9.228,4.6596,6.2705,12.5116,6.0549,10.1244,3.8992,17.168
ep,4.0099,9.3478,5.2012,1.1146,8.9607,18.0961,1.0424,1.2428,21.3852,13.564,12.6202,3.4149
sp,4.6904,10.174,4.8054,7.6411,18.5257,8.6898,8.3155,1.5321,13.0993,3.6305,6.3861,12.5101
cfp,9.0409,2.5386,12.6697,4.7363,5.3664,15.7589,4.6466,7.4109,6.2935,7.8969,18.4863,5.1549
dy,18.0726,4.2854,10.6982,3.6859,15.8306,10.0851,9.5247,6.4974,9.7489,3.2308,3.5892,4.7513
agr,10.4832,11.3323,7.262,14.0609,5.3481,6.4544,3.7007,11.7265,6.9134,7.7486,10.4718,4.4983
invest,4.9874,11.8269,5.0309,9.3497,5.7503,3.1133,14.5064,11.7704,4.9904,0.8808,13.5961,14.1973
operprof,4.1891,23.8328,19.4236,3.2797,6.1883,14.7919,11.5325,2.8857,5.1993,2.4539,5.6354,0.588
gma,2.2425,13.5507,15.8671,4.9981,7.2884,10.3647,9.054,8.1347,5.1773,6.6306,10.2746,6.4174
roeq,7.3891,18.4313,8.111,7.0532,3.7233,13.6671,5.8167,3.4493,2.3693,3.2893,8.1015,18.5988
roaq,4.4578,23.6926,12.7909,15.8332,1.6915,4.7078,12.9471,6.4081,4.2153,2.8547,5.3406,5.0604
acc,14.0137,9.2319,12.2866,3.1491,15.7108,4.2919,5.8537,4.3672,4.7251,2.0695,12.7788,11.5218
lev,2.9272,1.9521,2.4149,10.9186,4.5867,21.3653,9.4947,7.8456,5.8317,9.1245,16.2334,7.3054
sgr,12.4352,15.5924,3.3344,6.9941,1.9125,7.4466,7.4298,14.5526,5.1481,8.8907,9.8293,6.4343
lgr,10.1802,10.1681,11.2433,6.1097,4.0599,8.8298,13.9046,7.526,6.3089,2.469,10.3872,8.8133
age,10.1491,14.8892,8.1916,6.7239,1.4917,7.9119,1.4507,7.6946,9.8475,10.1588,9.9816,11.5094
depr,9.0153,9.8925,10.7187,11.9864,2.8226,8.0537,4.3474,10.2062,6.7829,4.7064,10.8822,10.5856
chinv,9.4741,3.0928,6.9514,3.7269,28.8534,9.1618,3.4461,12.2027,2.8845,3.6749,1.5847,14.9467
