Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,0.268851,0.374267,,84.278263,0.0449,0.037371,0.167698,1.537658,7.054585,1.657308
ENet+H,0.183849,0.273063,,91.883965,0.045305,0.038564,0.086192,1.556455,5.770631,1.133323
PCR,0.317375,0.417948,,84.493315,0.045942,0.035428,0.14548,1.55201,8.814637,1.956431
PLS,0.331225,0.427045,,85.751401,0.045934,0.040545,0.16882,1.558833,9.695299,2.041807
GLM+H,0.243221,0.339746,,88.109491,0.045294,0.039663,0.117856,1.550257,7.031907,1.499312
GBRT+H,0.424805,0.520631,,81.946543,0.044443,0.039597,0.39085,1.550747,12.388681,2.618676
NN1,0.381957,0.48183,,82.078609,0.044195,0.037828,0.226775,1.543983,10.614971,2.354539
NN2,0.4372,0.543799,,77.184977,0.046488,0.039128,0.288024,1.555544,11.487105,2.695084
NN3,0.47013,0.575553,,75.849013,0.044751,0.037093,0.329006,1.544721,12.399528,2.898076
NN4,0.471452,0.568413,,79.480805,0.045246,0.039735,0.415852,1.557823,13.626064,2.906224
ENS-AVG,0.650223,0.75754,,68.510243,0.045391,0.039782,0.478214,1.547683,16.85891,4.008243
ENS-MSE,0.636408,0.742054,,69.643917,0.045379,0.039288,0.547375,1.552876,16.849564,3.92308
