,ENet+H,GBRT+H,GLM+H,NN1,NN2,NN3,NN4,OLS-3,PCR,PLS,ENS-AVG,ENS-MSE
ENet+H,,-0.3778794724233242,0.23273028673842,0.39116387646504924,-0.2007562740633705,0.24797528261235077,-0.5801731183160271,0.3686930686731527,0.09246206926193214,0.5681151446588426,-0.33459095904702346,-0.1253135138455195
GBRT+H,0.5761850296857816,,0.4104228437366954,0.22063641394317,0.44731017877353635,-0.040888028298927945,-0.0021640594103599226,0.1721229907643675,0.11381030355332122,0.03335879314467724,-0.5850674181179322,0.1101544915366211
GLM+H,-0.01310614899805824,-0.22677635353420753,,0.2040316492257674,-0.049269655640186705,-0.4951324120935745,-0.25470838618162384,-0.19080357731700295,0.024432554067439244,0.13863087750289027,-0.3064930867911929,-0.011097970355091802
NN1,-0.35162221568670243,-0.08956071101263474,-0.33389970811078323,,0.11719384128937793,0.08845546209069235,0.258301266369262,0.2276040793286335,-0.09923012072963372,0.2058384540025523,-0.4369701074267843,-0.2869138285545053
NN2,0.46169385206125524,0.22102153192564788,-0.023339898338272852,0.5210636695152799,,0.09177854090143929,-0.5565301826806225,0.6099981295759307,0.2795225255735536,0.2829069074850666,-0.01618709054401013,-0.043106311890484444
NN3,-0.10620629601589218,-0.10659974548960813,0.20132665957874424,-0.28015792151363555,0.027491479717525094,,0.11743449038911546,-0.26619175993299987,0.2434562905138997,-0.6180276600249316,-0.26898813850083003,-0.584476501177587
NN4,0.13417535999523933,-0.10558307249073144,-0.02707404148461337,0.4228367779197349,0.12571298319249838,0.03403213293366382,,0.5668787376005846,-0.42804300587527,-0.2597685099472449,0.14403988665309791,-0.030129952104126778
OLS-3,0.1299522160489327,-0.5014812882484221,-0.3172267569604824,-0.21397006360141135,-0.1752562615006034,0.0026569928976492158,0.2707676463907307,,0.44536235184767037,-0.17542496079396638,-0.07446805261700956,-0.0821819072760614
PCR,0.05630210538634521,0.14428819263459372,-0.2883415675929744,0.2980860568396358,-0.10094436350030087,-0.27195036959457597,-0.08288573654343954,0.41812409762217206,,0.23236278356327048,0.23443305750399823,-0.1997613744454937
PLS,0.07420442219679127,0.011268802841681066,-0.11908411977402013,-0.11190443017022819,0.3318825919998557,-0.10984733361967551,-0.3169117509735429,0.016381038867539558,0.13949382354391446,,-0.6964432891648671,-0.1358790323796078
ENS-AVG,0.3237526746880127,0.5565962192114238,0.08118237003565526,0.5234155961222151,0.37251864160499765,0.6216956256982129,-0.22483393411989866,0.2885905698413739,-0.2954951493426805,0.9126425425550951,,-0.3712562702877226
ENS-MSE,0.5655304626851341,-0.19133914931375884,-0.15430930408627253,0.5951740187056038,0.009262549607571391,-0.21915561292366845,-0.27414412518916487,-0.012244615020235494,0.6532924449079207,0.6984364306521534,-0.021935453914615544,
