regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,0.268851,0.374267,0.005879,456
nber,recession,OLS-3,0.10754,0.149707,0.002352,40
nber,expansion,OLS-3,0.295736,0.411694,0.006467,416
vix,low_vix,OLS-3,0.349506,0.486547,0.007642,345
vix,mid_vix,OLS-3,0.268851,0.374267,0.005879,71
vix,high_vix,OLS-3,0.134425,0.187133,0.002939,40
decade,1980s,OLS-3,0.241445,0.336115,0.00528,36
decade,1990s,OLS-3,0.269071,0.374573,0.005884,120
decade,2000s,OLS-3,0.292527,0.407226,0.006397,120
decade,2010s,OLS-3,0.231733,0.322596,0.005067,120
decade,2020s,OLS-3,0.244295,0.340083,0.005342,60
full,all,ENet+H,0.183849,0.273063,0.004809,456
nber,recession,ENet+H,0.07354,0.109225,0.001924,40
nber,expansion,ENet+H,0.202234,0.300369,0.00529,416
vix,low_vix,ENet+H,0.239004,0.354982,0.006252,345
vix,mid_vix,ENet+H,0.183849,0.273063,0.004809,71
vix,high_vix,ENet+H,0.091925,0.136531,0.002404,40
decade,1980s,ENet+H,0.186116,0.276429,0.004868,36
decade,1990s,ENet+H,0.157492,0.233915,0.004119,120
decade,2000s,ENet+H,0.190273,0.282604,0.004977,120
decade,2010s,ENet+H,0.157614,0.234097,0.004123,120
decade,2020s,ENet+H,0.206543,0.306769,0.005402,60
full,all,PCR,0.317375,0.417948,0.007346,456
nber,recession,PCR,0.12695,0.167179,0.002938,40
nber,expansion,PCR,0.349113,0.459743,0.00808,416
vix,low_vix,PCR,0.412588,0.543332,0.009549,345
vix,mid_vix,PCR,0.317375,0.417948,0.007346,71
vix,high_vix,PCR,0.158688,0.208974,0.003673,40
decade,1980s,PCR,0.279318,0.36783,0.006465,36
decade,1990s,PCR,0.346586,0.456415,0.008022,120
decade,2000s,PCR,0.308403,0.406133,0.007138,120
decade,2010s,PCR,0.314435,0.414076,0.007277,120
decade,2020s,PCR,0.364017,0.47937,0.008425,60
full,all,PLS,0.331225,0.427045,0.008079,456
nber,recession,PLS,0.13249,0.170818,0.003232,40
nber,expansion,PLS,0.364347,0.469749,0.008887,416
vix,low_vix,PLS,0.430592,0.555158,0.010503,345
vix,mid_vix,PLS,0.331225,0.427045,0.008079,71
vix,high_vix,PLS,0.165612,0.213522,0.00404,40
decade,1980s,PLS,0.342387,0.441436,0.008352,36
decade,1990s,PLS,0.29038,0.374384,0.007083,120
decade,2000s,PLS,0.30509,0.393349,0.007442,120
decade,2010s,PLS,0.340528,0.439039,0.008306,120
decade,2020s,PLS,0.320345,0.413018,0.007814,60
full,all,GLM+H,0.243221,0.339746,0.00586,456
nber,recession,GLM+H,0.097288,0.135898,0.002344,40
nber,expansion,GLM+H,0.267543,0.373721,0.006446,416
vix,low_vix,GLM+H,0.316187,0.44167,0.007618,345
vix,mid_vix,GLM+H,0.243221,0.339746,0.00586,71
vix,high_vix,GLM+H,0.12161,0.169873,0.00293,40
decade,1980s,GLM+H,0.220117,0.307474,0.005303,36
decade,1990s,GLM+H,0.211592,0.295566,0.005098,120
decade,2000s,GLM+H,0.225773,0.315374,0.00544,120
