,ENet+H,GBRT+H,GLM+H,NN1,NN2,NN3,NN4,OLS-3,PCR,PLS,ENS-AVG,ENS-MSE
ENet+H,,0.7873288413771922,0.7948249597813333,0.7945550372165314,0.8063946248596268,0.8245433524902279,0.8549171219069484,0.7902436173073814,0.7966580180023785,0.8255068593378265,0.4531181962101053,0.6564623556761879
GBRT+H,0.9222500158239731,,0.7631804362270813,0.6919088168386821,0.8135769329300108,0.768046914617388,0.7814870961715963,0.6271365560956574,0.7795344299664331,0.6366196893864666,0.5633189839840104,0.5963580739304277
GLM+H,0.9941161779532426,0.9518707504314793,,0.8234087310469153,0.6054870282414679,0.6274380000255839,0.4630247029393397,0.7521067456020643,0.9725887249341916,0.9095024526239207,0.696213100392715,0.6936499368685759
NN1,0.9911169134684719,0.9275587646376788,0.8544525054312803,,0.9749208566060075,0.7992391429679426,0.8793916661132545,0.7385160452376112,0.7980193812372494,0.8902248700162301,0.9981926412367798,0.9016356908258769
NN2,0.9339884724553225,0.7097042572679351,0.8407490740486055,0.6724369096942389,,0.7376569737440625,0.876953084693451,0.6094159096362584,0.9858138336422738,0.6882904620142704,0.4445567186282309,0.7808981236503468
NN3,0.9049621071989531,0.5810110824743951,0.7044920276027837,0.9550342929579615,0.9841890803878165,,0.8755843337938501,0.9389808252048503,0.6533215032362355,0.8329276647925599,0.6594464690552246,0.7265200997643675
NN4,0.5926907110474062,0.7863581518930713,0.49095907943830375,0.8253922836519342,0.5638497874838131,0.9840303836495556,,0.8054519951726877,0.6580008657071232,0.44137979517910086,0.6722204594380512,0.7254447107101862
OLS-3,0.5911012614096407,0.9576003705869252,0.7152044993398521,0.48127450153147455,0.6431639169560436,0.8779811693053867,0.7596752056495216,,0.9259345887238086,0.7108600619425277,0.4019969668424094,0.6503758036499345
PCR,0.6563257294217624,0.8921920362008005,0.9009175113755873,0.6802174448324394,0.74355529319501,0.9969967744937672,0.6233264541467324,0.9730148644439311,,0.9799354281352444,0.45014520483380493,0.8136686752533335
PLS,0.8830708154370728,0.9708473913848076,0.9813954510160686,0.9938523420656014,0.959748687752475,0.7379684798826323,0.6192302725794354,0.7142828790133462,0.6030680134972485,,0.3741409954427596,0.700379540213057
ENS-AVG,0.5145121113157263,0.8213577951159763,0.6308503980563794,0.5438026231686113,0.5702179189277339,0.7991950289432821,0.9155233149259497,0.7735095126704954,0.7819933178015134,0.9815017628667204,,0.9159410662109426
ENS-MSE,0.47082331753577633,0.9245152315836077,0.5106386800231297,0.9026139681369182,0.8169183587992944,0.7553305229427895,0.6638322682387539,0.7282421258893008,0.5598922959877881,0.6350800082424154,0.8073650705621435,
