,ENet+H,GBRT+H,GLM+H,NN1,NN2,NN3,NN4,OLS-3,PCR,PLS,ENS-AVG,ENS-MSE
ENet+H,,-0.2697808693117907,0.2600503185671984,-0.26040026674486266,-0.24507982383612048,-0.22170523769529213,-0.18284820771144178,-0.2659942760778558,-0.2576746421718516,-0.22046778455058452,-0.7502266741596385,-0.44480268245387194
GBRT+H,-0.09759988500512712,,0.301306957185822,0.3962659862446227,0.23581409166144507,0.29493057521090876,0.2773816161950844,0.48576110217115365,0.2799258035022674,0.4724302884345036,-0.5779187378001582,-0.5296450203222969
GLM+H,0.007374344189414321,-0.06035769658476198,,-0.223162892664068,0.516526080645751,0.48533603207289827,-0.7338753643820177,0.3158626724007726,0.03436169932519809,-0.11366614284433275,-0.39043744917022527,-0.39390668201983203
NN1,-0.011133527938918364,-0.09091671992239121,-0.1834403663464079,,0.03143722242890548,0.2543319184356662,-0.15174043220267794,-0.33381913238241445,0.2559112323098523,0.13801967239871088,-0.0022651902262914025,-0.12359532927965261
NN2,0.08282778920157113,-0.37225331071688395,0.2009354165410301,-0.4228058629417024,,-0.3349577285597456,-0.1548328604554713,0.5109073851726305,0.017780659704123954,-0.40117611856427476,-0.7645211821420511,-0.278148816301513
NN3,0.11939539785065954,0.5519084445134409,-0.3792637339005069,0.05638602088214669,0.019817346132667668,,0.15656925603178592,0.07655089395351466,-0.44915270380508504,0.21094823502694432,-0.44067752578304953,-0.3497582956550695
NN4,0.5349409203237955,-0.2710427510325281,0.6887842008409064,0.2206149189151853,0.577132742151895,0.02001628245166987,,0.24629743526171607,-0.44267494750887015,0.7698653072090994,-0.4231025260674948,-0.35119146777902105
OLS-3,0.5372408442418468,0.053165089770095514,0.36487529124024964,-0.704254170268534,-0.46327966883867466,-0.1535289409041279,0.30590732888992,,0.09296094433442922,-0.370701246321531,-0.8380600707774621,-0.4532401785629432
PCR,0.4449917316435864,0.13553102493402797,-0.12450238593663884,0.4121664244744747,-0.32714886666293774,0.003763993872313673,-0.4911413827562678,0.03382730213607797,,-0.025149862605780553,-0.7551729698391685,-0.2356958695243434
PLS,-0.147077542682988,0.03654550976143332,-0.023319457596465615,0.007705022837715299,-0.050468955544932165,0.3345448144476292,-0.4969415462822889,0.36611015659507007,-0.5199936320067075,,-0.8887434098690151,0.3848081772725813
ENS-AVG,0.6518280391115445,-0.22579894826689273,0.48053025102066727,0.6070727654420858,0.5677305870982599,-0.2543890249804037,-0.10607440938589524,0.2877873610841466,0.27672233849256217,0.02318617942452572,,0.10554789660442747
ENS-MSE,0.721140106115799,0.09474769705934832,0.6578435297742027,0.12235993390014749,0.2315103331218842,0.31161843415641577,0.43462827468445436,0.3474648435875278,0.5830014917699635,0.47458891575643514,-0.24382666142892068,
