Model,Sharpe (net),Sharpe (gross),SR*,Max DD (%),Skew,Kurt,OOS R² (%),Mean TO (1-way),Alpha (% / yr),t(alpha)
OLS-3,-0.001946,0.001314,,251.81824,0.153488,0.213784,0.015798,1.540915,-1.103743,-0.005919
ENet+H,-0.001094,0.001314,,423.076455,0.153543,0.213865,0.007678,1.552429,-0.846096,-0.003326
PCR,-0.001578,0.001314,,8561.701307,0.153517,0.21383,0.017737,1.55149,-1.015755,-0.004799
PLS,-0.002517,0.001314,,214.373542,0.153463,0.213945,0.018508,1.54125,-1.21506,-0.007656
GLM+H,-0.001499,0.001314,,59605.777712,0.153473,0.21375,0.009245,1.558394,-0.996327,-0.004558
GBRT+H,-0.001857,0.001314,,259.188238,0.153399,0.213921,0.030184,1.542623,-1.083955,-0.005648
NN1,-0.001604,0.001314,,10456.486967,0.153526,0.213992,0.025595,1.568403,-1.034448,-0.004878
NN2,-0.001873,0.001314,,256.873813,0.153514,0.213782,0.028116,1.536625,-1.083637,-0.005697
NN3,-0.001496,0.001314,,60220.163268,0.153462,0.213839,0.036046,1.559121,-0.995946,-0.00455
NN4,-0.001306,0.001314,,95481.774409,0.15342,0.213848,0.030941,1.548138,-0.926071,-0.003973
ENS-AVG,-0.002028,0.001314,,246.310293,0.153479,0.21386,0.028851,1.544995,-1.124971,-0.006168
ENS-MSE,-0.001486,0.001314,,60779.61734,0.153552,0.213908,0.040501,1.555273,-0.990297,-0.004519
