regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
full,all,OLS-3,-0.001946,0.001314,-0.00092,111
nber,recession,OLS-3,0.319709,0.32281,0.156312,16
nber,expansion,OLS-3,-0.058051,-0.054779,-0.027401,95
vix,low_vix,OLS-3,0.137757,0.141584,0.056287,37
vix,mid_vix,OLS-3,-0.254758,-0.251472,-0.116497,37
vix,high_vix,OLS-3,0.104088,0.106908,0.05745,37
decade,2010s,OLS-3,-0.723058,-0.719276,-0.292904,36
decade,2020s,OLS-3,0.278881,0.281978,0.139232,75
full,all,ENet+H,-0.001094,0.001314,-0.000705,111
nber,recession,ENet+H,0.320521,0.32281,0.213783,16
nber,expansion,ENet+H,-0.057196,-0.054779,-0.036829,95
vix,low_vix,ENet+H,0.138786,0.141584,0.077357,37
vix,mid_vix,ENet+H,-0.254003,-0.251472,-0.158458,37
vix,high_vix,ENet+H,0.104901,0.106908,0.078986,37
decade,2010s,ENet+H,-0.722058,-0.719276,-0.399028,36
decade,2020s,ENet+H,0.279688,0.281978,0.19049,75
full,all,PCR,-0.001578,0.001314,-0.000846,111
nber,recession,PCR,0.320013,0.32281,0.177596,16
nber,expansion,PCR,-0.057675,-0.054779,-0.0309,95
vix,low_vix,PCR,0.138154,0.141584,0.064072,37
vix,mid_vix,PCR,-0.254461,-0.251472,-0.132077,37
vix,high_vix,PCR,0.104497,0.106908,0.065466,37
decade,2010s,PCR,-0.722701,-0.719276,-0.332307,36
decade,2020s,PCR,0.279267,0.281978,0.158255,75
full,all,PLS,-0.002517,0.001314,-0.001013,111
nber,recession,PLS,0.319061,0.32281,0.132781,16
nber,expansion,PLS,-0.058606,-0.054779,-0.023546,95
vix,low_vix,PLS,0.137034,0.141584,0.047658,37
vix,mid_vix,PLS,-0.255337,-0.251472,-0.099385,37
vix,high_vix,PLS,0.103636,0.106908,0.04869,37
decade,2010s,PLS,-0.723807,-0.719276,-0.249569,36
decade,2020s,PLS,0.278365,0.281978,0.118294,75
full,all,GLM+H,-0.001499,0.001314,-0.00083,111
nber,recession,GLM+H,0.320132,0.32281,0.183482,16
nber,expansion,GLM+H,-0.057602,-0.054779,-0.031872,95
vix,low_vix,GLM+H,0.13828,0.141584,0.066234,37
vix,mid_vix,GLM+H,-0.254382,-0.251472,-0.136359,37
vix,high_vix,GLM+H,0.104532,0.106908,0.067634,37
decade,2010s,GLM+H,-0.722555,-0.719276,-0.343118,36
decade,2020s,GLM+H,0.279311,0.281978,0.163468,75
full,all,GBRT+H,-0.001857,0.001314,-0.000903,111
nber,recession,GBRT+H,0.319677,0.32281,0.160883,16
nber,expansion,GBRT+H,-0.057945,-0.054779,-0.028151,95
vix,low_vix,GBRT+H,0.137969,0.141584,0.058023,37
vix,mid_vix,GBRT+H,-0.254704,-0.251472,-0.11988,37
vix,high_vix,GBRT+H,0.104111,0.106908,0.059147,37
decade,2010s,GBRT+H,-0.723002,-0.719276,-0.301458,36
decade,2020s,GBRT+H,0.278985,0.281978,0.143363,75
full,all,NN1,-0.001604,0.001314,-0.000862,111
nber,recession,NN1,0.320035,0.32281,0.177949,16
nber,expansion,NN1,-0.05771,-0.054779,-0.030978,95
vix,low_vix,NN1,0.138256,0.141584,0.064241,37
vix,mid_vix,NN1,-0.254543,-0.251472,-0.132369,37
vix,high_vix,NN1,0.104419,0.106908,0.065542,37
decade,2010s,NN1,-0.722699,-0.719276,-0.332938,36
decade,2020s,NN1,0.279229,0.281978,0.158534,75
full,all,NN2,-0.001873,0.001314,-0.000903,111
nber,recession,NN2,0.319927,0.32281,0.159557,16
nber,expansion,NN2,-0.058005,-0.054779,-0.027928,95
vix,low_vix,NN2,0.137864,0.141584,0.057461,37
vix,mid_vix,NN2,-0.254795,-0.251472,-0.118848,37
vix,high_vix,NN2,0.104223,0.106908,0.058678,37
decade,2010s,NN2,-0.723025,-0.719276,-0.298764,36
decade,2020s,NN2,0.278971,0.281978,0.14207,75
full,all,NN3,-0.001496,0.001314,-0.00083,111
nber,recession,NN3,0.320097,0.32281,0.183729,16
nber,expansion,NN3,-0.057594,-0.054779,-0.031914,95
vix,low_vix,NN3,0.138311,0.141584,0.066342,37
vix,mid_vix,NN3,-0.254365,-0.251472,-0.136551,37
vix,high_vix,NN3,0.104514,0.106908,0.067719,37
decade,2010s,NN3,-0.722466,-0.719276,-0.343584,36
decade,2020s,NN3,0.279297,0.281978,0.163692,75
full,all,NN4,-0.001306,0.001314,-0.000772,111
nber,recession,NN4,0.320301,0.32281,0.195753,16
nber,expansion,NN4,-0.057407,-0.054779,-0.033871,95
vix,low_vix,NN4,0.138583,0.141584,0.07078,37
vix,mid_vix,NN4,-0.254167,-0.251472,-0.145279,37
vix,high_vix,NN4,0.104624,0.106908,0.072184,37
decade,2010s,NN4,-0.722351,-0.719276,-0.365774,36
decade,2020s,NN4,0.279504,0.281978,0.174429,75
full,all,ENS-AVG,-0.002028,0.001314,-0.000937,111
nber,recession,ENS-AVG,0.319546,0.32281,0.152813,16
nber,expansion,ENS-AVG,-0.058121,-0.054779,-0.026832,95
vix,low_vix,ENS-AVG,0.137731,0.141584,0.055041,37
vix,mid_vix,ENS-AVG,-0.254893,-0.251472,-0.114004,37
vix,high_vix,ENS-AVG,0.104011,0.106908,0.05615,37
decade,2010s,ENS-AVG,-0.723131,-0.719276,-0.286521,36
decade,2020s,ENS-AVG,0.278807,0.281978,0.136143,75
full,all,ENS-MSE,-0.001486,0.001314,-0.000825,111
nber,recession,ENS-MSE,0.320042,0.32281,0.183909,16
nber,expansion,ENS-MSE,-0.057571,-0.054779,-0.031938,95
vix,low_vix,ENS-MSE,0.138364,0.141584,0.066445,37
vix,mid_vix,ENS-MSE,-0.254393,-0.251472,-0.136724,37
vix,high_vix,ENS-MSE,0.104521,0.106908,0.067804,37
decade,2010s,ENS-MSE,-0.722509,-0.719276,-0.34399,36
decade,2020s,ENS-MSE,0.279309,0.281978,0.163894,75
